business_name,sector,followers_count,posts_count,engagement_mean,engagement_rate_mean,view_rate_mean,comment_rate_mean,promo_share,cta_share,location_share,dialect_share,discount_mean,video_share,reel_share,cluster_id,cluster_label
528 Fashion,Fashion,4500.0,7,1.2857142857142858,0.0002857142857142714,0.11501587301587299,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,video-first builders
99streetwear,Fashion,5200.0,9,3.0,0.0005769230769230111,0.26282051282051283,6.410256410254444e-05,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,video-first builders
Abu shukri restaurant-مطعم حمص ابو شكري,Cafes/Restaurants,2900.0,3,71.66666666666667,0.02471264367816083,0.0,0.0051724137931034005,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,7,passive businesses
Ahmed Sh Ajwa,Influencers,15000000.0,1,4454.0,0.0002969333333333,0.0194,1e-05,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6,emerging challengers
Al Jazeera English,Influencers,1100000.0,2,9670.0,0.00879090909090905,0.15409090909090906,0.00013181818181815,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,video-first builders
Angel shop PS,Fashion,14000.0,12,154.83333333333334,0.011059523809523767,3.1196428571428574,0.0016369047619047249,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2,video-first builders
Baby Bump,Fashion,15000.0,10,10.1,0.00067333333333331,0.0,2.666666666666e-05,1.0,1.0,0.9,1.0,0.0,0.0,1.0,2,video-first builders
Bella Kids,Fashion,5300.0,12,3.1666666666666665,0.0005974842767295334,0.07974842767295595,0.00017295597484276665,1.0,0.75,1.0,1.0,0.0,0.0,1.0,2,video-first builders
Bravo Supermarket,Supermarkets,18000.0,8,28.0,0.001555555555555507,0.3300902777777777,4.1666666666663894e-05,0.875,1.0,0.875,1.0,0.0,0.0,1.0,2,video-first builders
EUROMODA,Fashion,14800.0,8,100.0,0.006756756756756712,1.7816216216216216,8.445945945945946e-06,1.0,0.75,0.625,0.5,0.0,0.0,1.0,2,video-first builders
FPAIspal,Influencers,1100000.0,1,33281.0,0.0302554545454545,0.0,0.0009827272727272,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,video-first builders
Family Market PS,Supermarkets,2362.0,16,1292.3125,0.5471263759525825,28.157070279424218,0.008255715495342913,0.0,0.8125,1.0,1.0,0.0,0.0,1.0,4,community storytellers
Farouj Abu Alabd,Cafes/Restaurants,25000.0,24,88.25,0.00353,2.2933333333333334,0.0006833333333333332,0.7916666666666666,0.8333333333333334,0.7916666666666666,1.0,0.0,0.0,0.4166666666666667,2,video-first builders
Fashion Shop Ramallah,Fashion,16500.0,8,2.0,0.00012121212121209508,0.014818181818181776,0.0,0.0,0.875,1.0,1.0,3.75,0.0,1.0,2,video-first builders
Fekreebrahem,Influencers,1100000.0,3,1250.3333333333333,0.0011366666666666,0.013515151515151501,2.090909090909091e-05,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,2,video-first builders
Ghazala__store غزالة ستور,Fashion,3100.0,6,1.5,0.0004838709677419,0.20279569892473115,0.00010752688172040001,1.0,0.5,0.0,1.0,0.0,0.0,1.0,2,video-first builders
Gintifada,Influencers,1100000.0,1,4058.0,0.0036890909090909,0.0,4.909090909090909e-05,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,video-first builders
Grand Shop,Fashion,25000.0,10,13.7,0.000548,0.1916,2e-05,1.0,0.8,0.2,1.0,48.268,0.0,1.0,2,video-first builders
Grand Stores Mall,Fashion,43000.0,9,21.77777777777778,0.0005064599483203969,0.09399999999999996,0.0,0.8888888888888888,0.7777777777777778,0.7777777777777778,1.0,0.0,0.0,0.8888888888888888,2,video-first builders
Hala Fashion هلا فاشن,Fashion,1000.0,9,10.444444444444445,0.010444444444444444,0.7826666666666666,0.00044444444444444447,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,2,video-first builders
