business_name,sector,week,latest_rolling_engagement_rate,latest_growth,momentum_class
528 Fashion,Fashion,2026-05-04/2026-05-10,0.0003148148148148,1.8333333333334831,improving
99streetwear,Fashion,2026-05-04/2026-05-10,0.0005769230769230111,0.0,stable
Abu shukri restaurant-مطعم حمص ابو شكري,Cafes/Restaurants,2022-09-12/2022-09-18,0.02471264367816083,-0.06318082788671064,stable
Ahmed Sh Ajwa,Influencers,2025-12-29/2026-01-04,0.0002969333333333,0.0,stable
Al Jazeera English,Influencers,2025-01-13/2025-01-19,0.00879090909090905,0.708480565371032,improving
Angel shop PS,Fashion,2026-04-13/2026-04-19,0.007982142857142825,-0.09330628803245244,inconsistent
Baby Bump,Fashion,2026-04-06/2026-04-12,0.00043999999999997004,1.200000000000217,inconsistent
Bella Kids,Fashion,2026-05-04/2026-05-10,0.0005974842767295334,0.0,stable
Bravo Supermarket,Supermarkets,2026-04-27/2026-05-03,0.001555555555555507,0.0,stable
EUROMODA,Fashion,2023-10-02/2023-10-08,0.007972972972972938,0.08755760368663768,inconsistent
FPAIspal,Influencers,2026-02-23/2026-03-01,0.0302554545454545,0.0,stable
Family Market PS,Supermarkets,2026-05-04/2026-05-10,0.5550804403048264,-0.051885598582637305,stable
Farouj Abu Alabd,Cafes/Restaurants,2026-05-04/2026-05-10,0.0024675,0.5326086956521738,inconsistent
Fashion Shop Ramallah,Fashion,2026-05-04/2026-05-10,0.00011313131313128938,0.3999999999999513,improving
Fekreebrahem,Influencers,2026-02-16/2026-02-22,0.0011366666666666,-0.16699977792584286,inconsistent
Ghazala__store غزالة ستور,Fashion,2026-05-04/2026-05-10,0.00067204301075265,-0.25,declining
Gintifada,Influencers,2026-02-16/2026-02-22,0.0036890909090909,0.0,stable
Grand Shop,Fashion,2026-05-04/2026-05-10,0.000548,0.0,stable
Grand Stores Mall,Fashion,2026-05-04/2026-05-10,0.0005064599483203969,0.0,stable
Hala Fashion هلا فاشن,Fashion,2026-05-04/2026-05-10,0.010444444444444444,0.0,stable
Hamdan ElDahdouh,Influencers,2026-02-02/2026-02-08,0.0140063636363636,2.282275244993621,improving
Hijjawi Fashion - الحجاوي للأزياء,Fashion,2026-04-27/2026-05-03,3.492217898832685e-05,0.08132530120481918,stable
Hind Khoudary,Influencers,2026-03-09/2026-03-15,0.0083663636363636,0.0,stable
