ds,y,yhat,level,entity
2025-10-01,2117.2758620689656,1558.115666235887,overall,all_businesses
2025-11-01,2514.1111111111113,1505.6996709963257,overall,all_businesses
2025-12-01,1748.319587628866,1453.2836757567643,overall,all_businesses
2025-10-01,582.5,374.82742577188264,sector,bakery
2025-11-01,1197.7142857142858,359.8822720888216,sector,bakery
2025-12-01,1008.5555555555555,344.9371184057606,sector,bakery
2025-10-01,601.1666666666666,483.073918114031,sector,beauty_salon
2025-11-01,437.5,392.8659639022923,sector,beauty_salon
2025-12-01,452.77777777777777,302.6580096905536,sector,beauty_salon
2025-10-01,590.75,217.2161788685541,sector,cafe
2025-11-01,654.0,49.40075352925862,sector,cafe
2025-12-01,598.2307692307693,-118.41467181003685,sector,cafe
2025-10-01,1830.75,2416.4977984777247,sector,clinic
2025-11-01,500.42857142857144,2614.7005113184723,sector,clinic
2025-12-01,799.0,2812.9032241592195,sector,clinic
2025-10-01,2038.625,208.52095277846558,sector,education_center
2025-11-01,1690.2857142857142,-467.39829669387007,sector,education_center
2025-12-01,960.1176470588235,-1143.3175461662058,sector,education_center
2025-10-01,5861.666666666667,5250.4039456956925,sector,electronics_store
2025-11-01,8040.0,5400.719700637452,sector,electronics_store
2025-12-01,8661.666666666666,5551.035455579212,sector,electronics_store
2025-10-01,697.8571428571429,310.87065584539346,sector,gym
2025-11-01,565.7,304.4990179595769,sector,gym
2025-12-01,258.0,298.12738007376043,sector,gym
2025-10-01,528.3,1463.0608131600902,sector,pharmacy
2025-11-01,1225.4285714285713,1857.5428392003082,sector,pharmacy
2025-12-01,1112.357142857143,2252.024865240526,sector,pharmacy
2025-10-01,1216.125,324.4174771382855,sector,restaurant
2025-11-01,1427.5555555555557,42.49950267674342,sector,restaurant
2025-12-01,1537.4,-239.4184717847986,sector,restaurant
2025-10-01,5102.2307692307695,4422.545375325958,sector,store
2025-11-01,6888.785714285715,4732.218892451809,sector,store
2025-12-01,4542.272727272727,5041.89240957766,sector,store
2025-10-01,216.0,-130.0364412892436,business,Al Hayat Pharmacy
2025-11-01,971.0,-383.73104287511615,business,Al Hayat Pharmacy
2025-12-01,216.5,-637.4256444609887,business,Al Hayat Pharmacy
2025-10-01,591.0,745.2927451267943,business,Al Karmel Boutique
2025-11-01,1190.3333333333333,676.6994817478131,business,Al Karmel Boutique
2025-12-01,1025.5,608.1062183688318,business,Al Karmel Boutique
2025-10-01,993.5,748.0571174820416,business,Gaza Power House
2025-11-01,731.3333333333334,767.0130471654969,business,Gaza Power House
2025-12-01,539.0,785.9689768489521,business,Gaza Power House
2025-10-01,1830.75,1311.5372584859538,business,Nablus Skin Center
2025-11-01,531.0,1377.790131775892,business,Nablus Skin Center
2025-12-01,392.0,1444.0430050658301,business,Nablus Skin Center
2025-10-01,10438.0,22962.620507125157,business,Qalqilya Home Store
2025-11-01,7580.4,29445.21286206916,business,Qalqilya Home Store
2025-12-01,8903.75,35927.805217013156,business,Qalqilya Home Store
2025-10-01,9963.75,2147.594582448168,business,TechSouq Ramallah
2025-11-01,4078.0,1298.207913396634,business,TechSouq Ramallah
2025-12-01,9414.0,448.82124434510024,business,TechSouq Ramallah
2025-10-01,5039.8,4182.226612769254,business,Tulkarm Streetwear
2025-11-01,12776.5,4652.884338641452,business,Tulkarm Streetwear
2025-12-01,3996.5,5123.54206451365,business,Tulkarm Streetwear
