model,aggregation,changepoint_prior_scale,seasonality_mode,MAE,RMSE,MAPE,composite_score
exp_smoothing_fallback,monthly,0.5,multiplicative,14372.10011492207,21848.20691511984,2633.8921440063395,2.0
exp_smoothing_fallback,monthly,0.5,additive,14372.10011492207,21848.20691511984,2633.8921440063395,2.0
exp_smoothing_fallback,monthly,0.1,multiplicative,14372.10011492207,21848.20691511984,2633.8921440063395,2.0
exp_smoothing_fallback,monthly,0.1,additive,14372.10011492207,21848.20691511984,2633.8921440063395,2.0
exp_smoothing_fallback,monthly,0.05,multiplicative,14372.10011492207,21848.20691511984,2633.8921440063395,2.0
exp_smoothing_fallback,monthly,0.05,additive,14372.10011492207,21848.20691511984,2633.8921440063395,2.0
exp_smoothing_fallback,monthly,0.01,multiplicative,14372.10011492207,21848.20691511984,2633.8921440063395,2.0
exp_smoothing_fallback,monthly,0.01,additive,14372.10011492207,21848.20691511984,2633.8921440063395,2.0
exp_smoothing_fallback,weekly,0.5,multiplicative,22010.222761736655,40311.50076991007,595.1420832887093,1.0
exp_smoothing_fallback,weekly,0.5,additive,22010.222761736655,40311.50076991007,595.1420832887093,1.0
exp_smoothing_fallback,weekly,0.1,multiplicative,22010.222761736655,40311.50076991007,595.1420832887093,1.0
exp_smoothing_fallback,weekly,0.1,additive,22010.222761736655,40311.50076991007,595.1420832887093,1.0
exp_smoothing_fallback,weekly,0.05,multiplicative,22010.222761736655,40311.50076991007,595.1420832887093,1.0
exp_smoothing_fallback,weekly,0.05,additive,22010.222761736655,40311.50076991007,595.1420832887093,1.0
exp_smoothing_fallback,weekly,0.01,multiplicative,22010.222761736655,40311.50076991007,595.1420832887093,1.0
exp_smoothing_fallback,weekly,0.01,additive,22010.222761736655,40311.50076991007,595.1420832887093,1.0
