business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,kind,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate,cluster_id,cluster_label
LOFT Palestine,Fashion,4392.0,2026-03-31,0.0,Tuesday,3,reel,إطلالة أنثوية بلمسة عصرية ✨ من LOFT. للطلب التواصل على الرسائل 📩 رام الله - ايكون مول - ط2,88,0,2,13.0,0.0,1391.0,Arabic,True,False,0.0,True,False,False,True,0.0,,13.0,0.002959927140255,0.002959927140255,0.0,0.3167122040072859,0.0093457943925233,2026-03-30/2026-04-05,0,1,night,medium,none,few,medium,small,0,0,0,1,community updates
LOFT Palestine,Fashion,4392.0,2026-03-18,0.0,Wednesday,3,reel,اختيارك المثالي لإطلالة كاجول مميزة 🤍✨ LOFT كولكشن للطلب التواصل على الرسائل 📩 رام الله - ايكون مول - ط2,111,0,3,60.0,0.0,20300.0,Arabic,True,False,0.0,True,False,False,True,0.0,,60.0,0.0136612021857923,0.0136612021857923,0.0,4.622040072859745,0.0029556650246305,2026-03-16/2026-03-22,0,1,night,medium,none,few,high,small,1,1,0,1,community updates
LOFT Palestine,Fashion,4392.0,2026-03-16,0.0,Monday,3,reel,ستايل شبابي بلمسة عصرية له ولها ✨ اختيارات مميزة وإطلالات كاملة من LOFT. للطلب التواصل على الرسائل 📩 رام الله - ايكون مول - ط2,133,0,2,250.0,4.0,52500.0,Arabic,True,False,0.0,True,False,False,True,0.0,,254.0,0.0578324225865209,0.0569216757741347,0.0009107468123861,11.953551912568306,0.0048380952380952,2026-03-16/2026-03-22,0,1,night,medium,none,few,high,small,1,1,1,1,community updates
LOFT Palestine,Fashion,4392.0,2026-03-07,0.0,Saturday,3,reel,ستايل يناسبك، وتجربة تستحق الزيارة ✨ زورونا في ايكون مول رام الله - مرحبا - ط2,82,0,1,87.0,0.0,1200000.0,Arabic,True,False,0.0,True,False,False,True,0.0,,87.0,0.0198087431693989,0.0198087431693989,0.0,273.224043715847,7.25e-05,2026-03-02/2026-03-08,0,1,night,medium,none,few,high,small,1,1,0,7,steady baseline content
LOFT Palestine,Fashion,4392.0,2026-03-05,0.0,Thursday,3,reel,#LOFTSTYLE #Menstyle,21,2,0,97.0,0.0,706000.0,English,False,False,0.0,False,False,False,False,0.0,,97.0,0.0220856102003643,0.0220856102003643,0.0,160.74681238615665,0.0001373937677053,2026-03-02/2026-03-08,0,1,night,short,few,none,high,small,1,1,0,7,steady baseline content
LOFT Palestine,Fashion,4392.0,2026-02-26,0.0,Thursday,2,reel,اختيار يعكس شخصيتك✨ LOFT# زورونا رام الله - سردا - ايكون مول ط2,67,1,1,130.0,2.0,224000.0,Arabic,True,False,0.0,True,False,False,True,0.0,,132.0,0.0300546448087431,0.02959927140255,0.000455373406193,51.00182149362477,0.0005892857142857,2026-02-23/2026-03-01,0,1,night,medium,few,few,high,small,1,1,1,1,community updates
LOFT Palestine,Fashion,4392.0,2026-02-17,0.0,Tuesday,2,reel,#loft brown men long sleeve shirt 40% off,43,1,0,4.0,0.0,4734.0,English,False,True,40.0,False,False,False,False,0.0,,4.0,0.0009107468123861,0.0009107468123861,0.0,1.0778688524590163,0.0008449514152936,2026-02-16/2026-02-22,0,1,night,short,few,none,medium,small,0,1,0,5,cluster_9
LOFT Palestine,Fashion,4392.0,2026-02-16,0.0,Monday,2,reel,قميص أكمام طويلة loft#,24,1,0,4.0,0.0,32000.0,Arabic,False,False,0.0,False,False,False,True,0.0,,4.0,0.0009107468123861,0.0009107468123861,0.0,7.285974499089253,0.000125,2026-02-16/2026-02-22,0,1,night,short,few,none,medium,small,0,1,0,1,community updates
drift.for.men,Fashion,25000.0,2025-10-22,0.0,Wednesday,10,reel,Winter '26 Drop,16,0,0,216.0,2.0,44900.0,English,False,True,0.0,False,False,False,False,0.0,,218.0,0.00872,0.00864,8e-05,1.796,0.0048552338530066,2025-10-20/2025-10-26,0,1,night,short,none,none,high,medium,1,1,1,1,community updates
drift.for.men,Fashion,25000.0,2025-03-07,0.0,Friday,3,reel,,0,0,0,334.0,1.0,97000.0,,False,True,0.0,False,False,False,False,0.0,,335.0,0.0134,0.01336,4e-05,3.88,0.0034536082474226,2025-03-03/2025-03-09,0,1,night,short,none,none,high,medium,1,1,0,1,community updates
Fashion Shop Ramallah,Fashion,16500.0,2026-05-07,0.0,Thursday,5,reel,#عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,80,1,24,6.0,0.0,484.0,Arabic,False,False,0.0,True,False,True,True,0.0,,6.0,0.0003636363636363,0.0003636363636363,0.0,0.0293333333333333,0.012396694214876,2026-05-04/2026-05-10,0,1,night,medium,few,many,medium,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-06,0.0,Wednesday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,3.0,0.0,230.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,3.0,0.0001818181818181,0.0001818181818181,0.0,0.0139393939393939,0.0130434782608695,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-05,0.0,Tuesday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0.0,324.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,2.0,0.0001212121212121,0.0001212121212121,0.0,0.0196363636363636,0.0061728395061728,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
Fashion Shop Ramallah,Fashion,16500.0,2026-05-04,0.0,Monday,5,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,0.0,0.0,126.0,Arabic-English Mixed,True,False,0.0,True,False,False,True,0.0,,0.0,0.0,0.0,0.0,0.0076363636363636,0.0,2026-05-04/2026-05-10,0,1,night,long,few,many,low,medium,0,0,0,3,cluster_8
