business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
Shifa Physiotherapy,Clinic,10435,2025-09-19,12,Friday,9,image,Limited offer for this week. #SupportLocal #Fitness,51,2,0,219,8,0.0,Mixed,False,False,0.0,False,False,False,True
Gaza Power House,Gym,1688,2025-07-22,17,Tuesday,7,reel,Customer favorite is back. Call for appointment ???????,55,6,4,68,7,1577.0,Arabic,True,True,11.0,True,False,False,False
Gaza Sea Breeze Cafe,Cafe,14649,2025-09-26,8,Friday,9,image,"Support local, shop Palestinian.",32,6,4,406,31,0.0,Arabic,False,False,0.0,False,False,False,False
Ramallah Lash Bar,Beauty Salon,6223,2025-09-21,10,Sunday,9,image,Limited offer for this week. Call for appointment #Food #Bookstore #Jerusalem,77,3,6,217,24,0.0,Arabic,True,False,0.0,False,False,True,True
Nablus Grill House,Restaurant,8072,2025-10-29,0,Wednesday,10,video,Customer favorite is back. Call for appointment | ahlan ya shabab,65,5,1,307,24,6080.0,Mixed,True,False,0.0,True,False,False,True
Ramallah Roastery,Cafe,4324,2025-07-28,15,Monday,7,carousel,Behind the scenes from our team. Share this | ahlan ya shabab,61,4,3,178,14,0.0,Arabic,True,False,0.0,False,True,False,True
Nablus Linen Co,Clothing Store,2669,2025-12-22,21,Monday,12,reel,New arrivals just landed. Tag a friend | ahlan ya shabab,56,8,0,95,12,4864.0,Arabic,True,True,15.0,True,False,False,True
Al-Amal Dental Clinic,Clinic,3179,2026-01-29,12,Thursday,1,carousel,New arrivals just landed. Book now ???????,42,4,3,109,8,0.0,Arabic,True,False,0.0,False,False,False,False
Al-Karmel Boutique,Clothing Store,9423,2026-01-23,12,Friday,1,image,Behind the scenes from our team. | ahlan ya shabab | for Palestine #Nablus #Palestine #Gaza #Ramallah #Clinic #Beauty #Food #Fitness,132,8,0,298,18,0.0,Mixed,False,True,18.0,False,False,True,True
Ramallah Streetwear,Clothing Store,18359,2026-01-03,22,Saturday,1,video,Community vibes in Bethlehem. | ahlan ya shabab ?? #Nablus #Fitness #Gaza,73,3,1,573,48,23365.0,Arabic,False,True,25.0,True,False,False,True
Taste of Hebron,Restaurant,12512,2025-07-05,21,Saturday,7,image,Limited offer for this week. | ahlan ya shabab ??????????? #Fitness #Clinic #Coffee #Gaza #Ramallah,99,5,5,375,19,0.0,Mixed,False,False,0.0,True,True,False,True
Ramallah Readers,Bookstore,5527,2025-07-22,9,Tuesday,7,reel,New arrivals just landed. Call for appointment ?? #SmallBusiness,64,1,1,243,24,13652.0,Arabic,True,True,16.0,True,False,False,True
Shifa Physiotherapy,Clinic,10435,2025-10-18,13,Saturday,10,reel,Limited offer for this week. | ahlan ya shabab ???????? #SupportLocal #Palestine #Ramallah #Nablus,98,4,3,386,24,16147.0,Arabic,False,False,0.0,False,False,False,True
Gaza Home Cleaning,Local Services,2776,2025-06-05,22,Thursday,6,carousel,Community vibes in Ramallah. ?????,34,5,3,105,7,0.0,Arabic,False,False,0.0,True,False,False,False
Nablus Iron Club,Gym,2735,2025-08-23,10,Saturday,8,image,Ramadan-style menu ideas. Book now ????????,43,7,4,53,5,0.0,English,True,False,0.0,False,False,False,False
Nablus Linen Co,Clothing Store,2669,2025-09-25,6,Thursday,9,image,Fresh and ready today. Book now ? #SmallBusiness #Bookstore #Palestine #Clinic #Food #Gaza,90,6,1,30,2,0.0,Arabic,True,False,0.0,True,False,False,False
Jerusalem Saj Bakery,Bakery,5611,2026-02-17,9,Tuesday,2,reel,Customer favorite is back. ????? #Food #SupportLocal #Palestine #Jerusalem,74,4,3,139,6,2593.0,Arabic,False,True,8.0,False,False,False,False
Nablus Linen Co,Clothing Store,2669,2026-02-15,13,Sunday,2,image,Limited offer for this week. | ahlan ya shabab #Fitness #Beauty #SupportLocal #Clinic,85,4,0,85,5,0.0,English,False,True,13.0,False,False,False,True
Al-Quds Phone Repair,Local Services,1807,2026-01-29,2,Thursday,1,image,Fresh and ready today.,22,5,0,53,5,0.0,English,False,True,27.0,False,False,False,False
Nablus Sweet Oven,Bakery,10928,2025-10-03,10,Friday,10,image,"Support local, shop Palestinian.",32,5,3,341,23,0.0,English,False,True,33.0,False,False,False,False
Al-Quds Phone Repair,Local Services,1807,2026-01-05,19,Monday,1,image,Limited offer for this week. | ahlan ya shabab,46,5,1,42,1,,Mixed,False,False,0.0,False,False,False,True
Ramallah Fit Hub,Gym,1720,2025-07-03,17,Thursday,7,reel,"Support local, shop Palestinian. Visit us today",47,9,4,54,8,3525.0,Arabic,True,False,0.0,False,False,False,False
Nablus Printing Studio,Local Services,3287,2025-09-21,13,Sunday,9,reel,New arrivals just landed. #SmallBusiness,40,1,4,81,7,5391.0,Arabic,False,False,0.0,False,False,False,False
Nablus Skin Center,Clinic,11174,2025-06-26,13,Thursday,6,image,New arrivals just landed. #Coffee #Food #Beauty #Clinic #SmallBusiness #Gaza,76,6,0,438,31,0.0,Arabic,False,False,0.0,False,False,False,True
Nablus Iron Club,Gym,2735,2025-09-11,8,Thursday,9,image,Fresh and ready today. Tag a friend,35,5,1,71,9,0.0,Arabic,True,False,0.0,False,False,False,False
Strong Roots Gym,Gym,8112,2025-07-09,20,Wednesday,7,reel,Ramadan-style menu ideas. ??? #SupportLocal #Food #Jerusalem #Coffee #Ramallah #Hebron #Bookstore,97,7,2,220,13,14021.0,Arabic,False,False,0.0,False,False,False,False
Jerusalem Saj Bakery,Bakery,5611,2025-12-03,21,Wednesday,12,reel,Limited offer for this week. Visit us today,43,5,1,206,25,4834.0,Arabic,True,False,0.0,False,False,False,False
Kanafeh & Kunafa House,Bakery,13490,2025-11-20,8,Thursday,11,image,Fresh and ready today. DM us | ahlan ya shabab ????? #Food #Fitness #Jerusalem,78,3,3,403,42,0.0,Arabic,True,True,37.0,True,False,False,True
Ramallah Streetwear,Clothing Store,18359,2025-09-22,17,Monday,9,image,Limited offer for this week. Order on WhatsApp #SupportLocal #Palestine #Nablus #Hebron #Gaza #SmallBusiness #Jerusalem,119,7,2,779,69,0.0,Arabic,True,False,0.0,False,False,False,False
Strong Roots Gym,Gym,8112,2025-09-19,22,Friday,9,reel,Behind the scenes from our team. | ahlan ya shabab ???? #Coffee #Gaza #Food #Fitness #Jerusalem #SmallBusiness #Nablus #Bookstore,129,8,2,254,19,10188.0,Mixed,False,False,0.0,True,False,False,True
