sector,business_name,week,engagement_rate,engagement,posts_count,likes_count,comments_count,views_count,rolling_engagement_rate,business_growth,trend_class,n_states,final_trend_class
Cafes/Restaurants,Abu shukri restaurant-مطعم حمص ابو شكري,2020-05-18/2020-05-24,0.0217241379310344,63.0,1,47.0,16.0,0.0,0.0217241379310344,0.0,stable,2,stable
Cafes/Restaurants,Abu shukri restaurant-مطعم حمص ابو شكري,2022-05-02/2022-05-08,0.0310344827586206,90.0,1,65.0,25.0,0.0,0.0263793103448275,0.21428571428571486,improving,2,improving
Cafes/Restaurants,Abu shukri restaurant-مطعم حمص ابو شكري,2022-09-12/2022-09-18,0.0213793103448275,62.0,1,58.0,4.0,0.0,0.02471264367816083,-0.06318082788671064,stable,2,stable
Cafes/Restaurants,Farouj Abu Alabd,2025-04-07/2025-04-13,0.00064,16.0,1,14.0,2.0,6200.0,0.00064,0.0,stable,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2025-08-11/2025-08-17,0.012,300.0,1,285.0,15.0,240000.0,0.00632,8.875,improving,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2025-11-17/2025-11-23,0.00464,116.0,1,98.0,18.0,0.0,0.00576,-0.08860759493670878,stable,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2025-12-01/2025-12-07,0.01176,294.0,1,107.0,187.0,0.0,0.009466666666666667,0.6435185185185184,improving,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2025-12-22/2025-12-28,0.01296,324.0,1,311.0,13.0,392000.0,0.009786666666666666,0.033802816901408406,stable,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2026-02-16/2026-02-22,0.00488,122.0,1,119.0,3.0,599000.0,0.009866666666666666,0.008174386920980936,stable,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2026-03-09/2026-03-15,0.00148,37.0,1,15.0,22.0,0.0,0.00644,-0.3472972972972972,declining,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2026-03-30/2026-04-05,0.00262,65.5,4,154.0,108.0,16200.0,0.0029933333333333335,-0.5351966873706004,declining,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2026-04-06/2026-04-12,0.00325,81.25,4,318.0,7.0,70600.0,0.00245,-0.18151447661469944,declining,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2026-04-13/2026-04-19,0.00184,46.0,1,15.0,31.0,0.0,0.00257,0.048979591836734615,stable,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2026-04-20/2026-04-26,0.00031,7.75,4,31.0,0.0,13000.0,0.0017999999999999997,-0.2996108949416343,declining,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2026-04-27/2026-05-03,0.00104,26.0,3,76.0,2.0,19000.0,0.0010633333333333334,-0.4092592592592591,declining,3,inconsistent
Cafes/Restaurants,Farouj Abu Alabd,2026-05-04/2026-05-10,0.00668,167.0,1,165.0,2.0,20000.0,0.002676666666666667,1.5172413793103448,improving,3,inconsistent
Cafes/Restaurants,Jericho Resort Village - قرية أريحا السياحية,2026-02-16/2026-02-22,0.0011095890410958,81.0,1,81.0,0.0,0.0,0.0011095890410958,0.0,stable,3,inconsistent
Cafes/Restaurants,Jericho Resort Village - قرية أريحا السياحية,2026-02-23/2026-03-01,0.0009817351598172999,71.66666666666667,3,187.0,28.0,0.0,0.00104566210045655,-0.05761316872426703,stable,3,inconsistent
Cafes/Restaurants,Jericho Resort Village - قرية أريحا السياحية,2026-03-09/2026-03-15,0.0028219178082191,206.0,1,90.0,116.0,0.0,0.0016377473363774,0.5662299854439956,improving,3,inconsistent
Cafes/Restaurants,Jericho Resort Village - قرية أريحا السياحية,2026-03-16/2026-03-22,9.58904109589041e-05,7.0,1,7.0,0.0,0.0,0.0012998477929984347,-0.20631970260222132,declining,3,inconsistent
Cafes/Restaurants,Jericho Resort Village - قرية أريحا السياحية,2026-03-23/2026-03-29,0.0001780821917808,13.0,1,11.0,2.0,0.0,0.0010319634703196013,-0.20608899297423822,declining,3,inconsistent
Cafes/Restaurants,Jericho Resort Village - قرية أريحا السياحية,2026-03-30/2026-04-05,0.0002671232876712,19.5,2,28.0,11.0,0.0,0.0001803652968036347,-0.8252212389380651,declining,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-01-09/2023-01-15,0.0114190317195325,684.0,3,2035.0,17.0,789900.0,0.0114190317195325,0.0,stable,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-01-23/2023-01-29,0.0217529215358931,1303.0,1,1298.0,5.0,42700.0,0.0165859766277128,0.45248538011696127,improving,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-01-30/2023-02-05,0.0102838063439065,616.0,1,612.0,4.0,24300.0,0.014485253199777365,-0.1266566012414021,declining,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-02-13/2023-02-19,0.0023539232053422,141.0,1,138.0,3.0,9430.0,0.011463550361713933,-0.20860545524394947,declining,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-03-27/2023-04-02,0.0025876460767946,155.0,1,148.0,7.0,90600.0,0.0050751252086811,-0.55728155339806,declining,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-04-03/2023-04-09,0.0095325542570951,571.0,1,566.0,5.0,26400.0,0.0048247078464106335,-0.049342105263161296,stable,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-04-17/2023-04-23,0.00859766277128543,515.0,2,1021.0,9.0,60687.0,0.006905954368391711,0.43137254901961186,improving,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-04-24/2023-04-30,0.0085976627712854,515.0,1,510.0,5.0,26900.0,0.008909293266555311,0.2900886381950054,improving,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-08-14/2023-08-20,0.0392988313856427,2354.0,1,2347.0,7.0,108000.0,0.018831385642737845,1.1136789506558484,improving,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-08-21/2023-08-27,0.0156594323873121,938.0,1,930.0,8.0,308000.0,0.021185308848080064,0.12499999999999933,improving,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-08-28/2023-09-03,0.0020868113522537,125.0,1,118.0,7.0,127000.0,0.019015025041736165,-0.10244286840031525,declining,3,inconsistent
Cafes/Restaurants,KFC Palestine,2023-09-11/2023-09-17,0.0243405676126878,1458.0,1,1449.0,9.0,451000.0,0.014028937117417867,-0.2622183201638867,declining,3,inconsistent
Cafes/Restaurants,KFC Palestine,2025-11-17/2025-11-23,0.0145742904841402,873.0,1,863.0,10.0,2200000.0,0.0136672231496939,-0.025783419278063047,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-01-30/2023-02-05,0.0046052631578947,105.0,1,103.0,2.0,4278.0,0.0046052631578947,0.0,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-03-06/2023-03-12,4.385964912280701e-05,1.0,1,0.0,1.0,747.0,0.0023245614035087535,-0.49523809523809526,declining,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-03-20/2023-03-26,0.0079166666666666,180.5,2,354.0,7.0,16358.0,0.004188596491228036,0.8018867924528297,improving,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-04-03/2023-04-09,0.0254824561403508,581.0,1,576.0,5.0,15700.0,0.011147660818713401,1.6614310645724357,improving,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-04-10/2023-04-16,0.0228070175438596,520.0,1,516.0,4.0,12800.0,0.018735380116958997,0.6806557377049194,improving,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-05-01/2023-05-07,0.009298245614035,212.0,1,209.0,3.0,6643.0,0.019195906432748464,0.024580569644947037,stable,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-05-15/2023-05-21,0.0164473684210526,375.0,1,371.0,4.0,12400.0,0.01618421052631573,-0.15689261233815666,declining,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-05-29/2023-06-04,0.0063157894736842,144.0,1,140.0,4.0,14400.0,0.010687134502923933,-0.33965672990063267,declining,3,inconsistent
Cafes/Restaurants,Mazaj Oriental - مزاج الشرقي,2023-06-12/2023-06-18,0.0099561403508771,227.0,1,224.0,3.0,7084.0,0.010906432748537967,0.020519835841313228,stable,3,inconsistent
