source,target,relationship,weight
business:528 fashion,sector:fashion,business_to_sector,7
business:99streetwear,sector:fashion,business_to_sector,9
business:abu shukri restaurant-مطعم حمص ابو شكري,sector:cafes/restaurants,business_to_sector,3
business:aburob,sector:influencers,business_to_sector,31
business:al jazeera english,sector:influencers,business_to_sector,2
business:angel shop ps,sector:fashion,business_to_sector,12
business:baby bump,sector:fashion,business_to_sector,10
business:bella kids,sector:fashion,business_to_sector,12
business:bravo supermarket,sector:supermarkets,business_to_sector,8
business:drift.for.men,sector:fashion,business_to_sector,2
business:euromoda,sector:fashion,business_to_sector,8
business:family market ps,sector:supermarkets,business_to_sector,16
business:farouj abu alabd,sector:cafes/restaurants,business_to_sector,24
business:fashion shop ramallah,sector:fashion,business_to_sector,8
business:fekreebrahem,sector:influencers,business_to_sector,3
business:ghazala__store غزالة ستور,sector:fashion,business_to_sector,6
business:grand shop,sector:fashion,business_to_sector,10
business:grand stores mall,sector:fashion,business_to_sector,9
business:hala fashion هلا فاشن,sector:fashion,business_to_sector,9
business:hamdan eldahdouh,sector:influencers,business_to_sector,2
business:hijjawi fashion - الحجاوي للأزياء,sector:fashion,business_to_sector,11
business:hulk gym / diaa shabaro,sector:gym,business_to_sector,15
business:jericho resort village - قرية أريحا السياحية,sector:cafes/restaurants,business_to_sector,9
business:jumbo supermarket,sector:supermarkets,business_to_sector,11
business:katusha supermarket,sector:supermarkets,business_to_sector,8
business:kfc palestine,sector:cafes/restaurants,business_to_sector,16
business:koton palestine,sector:fashion,business_to_sector,8
business:loft palestine,sector:fashion,business_to_sector,8
business:lujain fashion,sector:fashion,business_to_sector,11
business:mabella - مابيلا,sector:fashion,business_to_sector,9
business:mas co,sector:fashion,business_to_sector,9
business:mazaj oriental - مزاج الشرقي,sector:cafes/restaurants,business_to_sector,16
business:mikkawi 1955,sector:fashion,business_to_sector,9
business:motaz azaiza,sector:influencers,business_to_sector,20
business:motaz foundation,sector:influencers,business_to_sector,10
business:noor restaurant and cafe,sector:cafes/restaurants,business_to_sector,27
business:nour alsaqa,sector:influencers,business_to_sector,2
business:orgada burgers,sector:cafes/restaurants,business_to_sector,9
business:pardo cafe,sector:cafes/restaurants,business_to_sector,3
business:pulse gym & fitness,sector:gym,business_to_sector,16
business:rexos café & restaurant,sector:cafes/restaurants,business_to_sector,25
business:robian restaurant,sector:cafes/restaurants,business_to_sector,20
business:ronza elegant,sector:fashion,business_to_sector,12
business:rozal,sector:fashion,business_to_sector,13
business:shamsboutique,sector:fashion,business_to_sector,14
business:shawerma w mashawi al helou,sector:cafes/restaurants,business_to_sector,20
business:supermarket 25st,sector:supermarkets,business_to_sector,8
business:vanilla palestine,sector:cafes/restaurants,business_to_sector,29
business:venus boutique / فينوس بوتيك,sector:fashion,business_to_sector,14
business:vienna restaurant & cafe,sector:cafes/restaurants,business_to_sector,5
business:wakeup coffee,sector:cafes/restaurants,business_to_sector,22
business:xtreme fitness ramallah,sector:gym,business_to_sector,8
business:جروان الدوار,sector:fashion,business_to_sector,14
business:متجر الأميرات للسيدات,sector:fashion,business_to_sector,12
business:متجر تبارك للزي الشرعي,sector:fashion,business_to_sector,12
business:528 fashion,post_type:reel,business_to_post_type,7
business:99streetwear,post_type:reel,business_to_post_type,9
business:abu shukri restaurant-مطعم حمص ابو شكري,post_type:post,business_to_post_type,3
business:aburob,post_type:reel,business_to_post_type,31
business:al jazeera english,post_type:reel,business_to_post_type,2
business:angel shop ps,post_type:reel,business_to_post_type,12
business:baby bump,post_type:reel,business_to_post_type,10
business:bella kids,post_type:reel,business_to_post_type,12
business:bravo supermarket,post_type:reel,business_to_post_type,8
business:drift.for.men,post_type:reel,business_to_post_type,2
business:euromoda,post_type:reel,business_to_post_type,8
business:family market ps,post_type:reel,business_to_post_type,16
business:farouj abu alabd,post_type:image,business_to_post_type,14
business:farouj abu alabd,post_type:reel,business_to_post_type,10
business:fashion shop ramallah,post_type:reel,business_to_post_type,8
business:fekreebrahem,post_type:reel,business_to_post_type,3
business:ghazala__store غزالة ستور,post_type:reel,business_to_post_type,6
business:grand shop,post_type:reel,business_to_post_type,10
business:grand stores mall,post_type:reel,business_to_post_type,8
business:hala fashion هلا فاشن,post_type:reel,business_to_post_type,9
business:hamdan eldahdouh,post_type:reel,business_to_post_type,2
business:hijjawi fashion - الحجاوي للأزياء,post_type:reel,business_to_post_type,11
business:hulk gym / diaa shabaro,post_type:reel,business_to_post_type,15
business:jericho resort village - قرية أريحا السياحية,post_type:post,business_to_post_type,9
business:jumbo supermarket,post_type:reel,business_to_post_type,11
business:katusha supermarket,post_type:reel,business_to_post_type,8
business:kfc palestine,post_type:reel,business_to_post_type,16
business:koton palestine,post_type:reel,business_to_post_type,8
business:loft palestine,post_type:reel,business_to_post_type,8
business:lujain fashion,post_type:reel,business_to_post_type,11
business:mabella - مابيلا,post_type:reel,business_to_post_type,9
business:mas co,post_type:reel,business_to_post_type,9
business:mazaj oriental - مزاج الشرقي,post_type:reel,business_to_post_type,16
business:mikkawi 1955,post_type:reel,business_to_post_type,8
business:motaz azaiza,post_type:reel,business_to_post_type,20
business:motaz foundation,post_type:reel,business_to_post_type,10
business:noor restaurant and cafe,post_type:image,business_to_post_type,17
business:noor restaurant and cafe,post_type:reel,business_to_post_type,10
business:nour alsaqa,post_type:reel,business_to_post_type,2
business:orgada burgers,post_type:image,business_to_post_type,5
business:orgada burgers,post_type:reel,business_to_post_type,4
business:pardo cafe,post_type:reel,business_to_post_type,3
business:pulse gym & fitness,post_type:reel,business_to_post_type,16
business:rexos café & restaurant,post_type:image,business_to_post_type,10
business:rexos café & restaurant,post_type:reel,business_to_post_type,15
business:robian restaurant,post_type:image,business_to_post_type,13
business:robian restaurant,post_type:reel,business_to_post_type,7
business:ronza elegant,post_type:reel,business_to_post_type,12
business:rozal,post_type:reel,business_to_post_type,13
