sector,method_key,method,setting,total_posts,anomaly_count,anomaly_ratio,balance_score,interpretability,final_score
Fashion,zscore_2,zscore,threshold=2,258,59,0.22868217054263565,0.8213178294573644,0.95,0.8727906976744186
Fashion,zscore_2.5,zscore,threshold=2.5,258,50,0.1937984496124031,0.8562015503875968,0.95,0.893720930232558
Fashion,zscore_3,zscore,threshold=3,258,44,0.17054263565891473,0.8794573643410852,0.95,0.9076744186046511
Fashion,iforest_0.03,isolation_forest,contamination=0.03,258,8,0.031007751937984496,0.9810077519379845,0.8,0.9086046511627908
Fashion,iforest_0.05,isolation_forest,contamination=0.05,258,13,0.050387596899224806,0.9996124031007751,0.8,0.9197674418604651
Fashion,iforest_0.1,isolation_forest,contamination=0.1,258,26,0.10077519379844961,0.9492248062015504,0.8,0.8895348837209303
Fashion,lof_10,lof,n_neighbors=10,258,13,0.050387596899224806,0.9996124031007751,0.75,0.8997674418604651
Fashion,lof_20,lof,n_neighbors=20,258,13,0.050387596899224806,0.9996124031007751,0.75,0.8997674418604651
Fashion,lof_35,lof,n_neighbors=35,258,13,0.050387596899224806,0.9996124031007751,0.75,0.8997674418604651
Cafes/Restaurants,zscore_2,zscore,threshold=2,228,41,0.17982456140350878,0.8701754385964913,0.95,0.9021052631578947
Cafes/Restaurants,zscore_2.5,zscore,threshold=2.5,228,38,0.16666666666666666,0.8833333333333333,0.95,0.9099999999999999
Cafes/Restaurants,zscore_3,zscore,threshold=3,228,34,0.14912280701754385,0.9008771929824562,0.95,0.9205263157894736
Cafes/Restaurants,iforest_0.03,isolation_forest,contamination=0.03,228,7,0.03070175438596491,0.9807017543859649,0.8,0.9084210526315789
Cafes/Restaurants,iforest_0.05,isolation_forest,contamination=0.05,228,12,0.05263157894736842,0.9973684210526316,0.8,0.918421052631579
Cafes/Restaurants,iforest_0.1,isolation_forest,contamination=0.1,228,23,0.10087719298245613,0.9491228070175439,0.8,0.8894736842105264
Cafes/Restaurants,lof_10,lof,n_neighbors=10,228,12,0.05263157894736842,0.9973684210526316,0.75,0.898421052631579
Cafes/Restaurants,lof_20,lof,n_neighbors=20,228,12,0.05263157894736842,0.9973684210526316,0.75,0.898421052631579
Cafes/Restaurants,lof_35,lof,n_neighbors=35,228,12,0.05263157894736842,0.9973684210526316,0.75,0.898421052631579
Influencers,zscore_2,zscore,threshold=2,80,23,0.2875,0.7625,0.95,0.8374999999999999
Influencers,zscore_2.5,zscore,threshold=2.5,80,15,0.1875,0.8625,0.95,0.8975
Influencers,zscore_3,zscore,threshold=3,80,12,0.15,0.9,0.95,0.92
Influencers,iforest_0.03,isolation_forest,contamination=0.03,80,3,0.0375,0.9875,0.8,0.9125000000000001
Influencers,iforest_0.05,isolation_forest,contamination=0.05,80,4,0.05,1.0,0.8,0.92
Influencers,iforest_0.1,isolation_forest,contamination=0.1,80,8,0.1,0.95,0.8,0.89
Influencers,lof_10,lof,n_neighbors=10,80,4,0.05,1.0,0.75,0.9
Influencers,lof_20,lof,n_neighbors=20,80,4,0.05,1.0,0.75,0.9
Influencers,lof_35,lof,n_neighbors=35,80,4,0.05,1.0,0.75,0.9
Gym,zscore_2,zscore,threshold=2,39,12,0.3076923076923077,0.7423076923076923,0.95,0.8253846153846154
Gym,zscore_2.5,zscore,threshold=2.5,39,11,0.28205128205128205,0.7679487179487179,0.95,0.8407692307692307
Gym,zscore_3,zscore,threshold=3,39,4,0.10256410256410256,0.9474358974358974,0.95,0.9484615384615385
Gym,iforest_0.03,isolation_forest,contamination=0.03,39,2,0.05128205128205128,0.9987179487179487,0.8,0.9192307692307693
Gym,iforest_0.05,isolation_forest,contamination=0.05,39,2,0.05128205128205128,0.9987179487179487,0.8,0.9192307692307693
Gym,iforest_0.1,isolation_forest,contamination=0.1,39,4,0.10256410256410256,0.9474358974358974,0.8,0.8884615384615385
Gym,lof_10,lof,n_neighbors=10,39,2,0.05128205128205128,0.9987179487179487,0.75,0.8992307692307693
Gym,lof_20,lof,n_neighbors=20,39,2,0.05128205128205128,0.9987179487179487,0.75,0.8992307692307693
Gym,lof_35,lof,n_neighbors=35,39,2,0.05128205128205128,0.9987179487179487,0.75,0.8992307692307693
Supermarkets,zscore_2,zscore,threshold=2,51,12,0.23529411764705882,0.8147058823529412,0.95,0.8688235294117647
Supermarkets,zscore_2.5,zscore,threshold=2.5,51,8,0.1568627450980392,0.8931372549019608,0.95,0.9158823529411765
Supermarkets,zscore_3,zscore,threshold=3,51,5,0.09803921568627451,0.9519607843137254,0.95,0.9511764705882353
Supermarkets,iforest_0.03,isolation_forest,contamination=0.03,51,2,0.0392156862745098,0.9892156862745098,0.8,0.9135294117647059
Supermarkets,iforest_0.05,isolation_forest,contamination=0.05,51,3,0.058823529411764705,0.9911764705882353,0.8,0.9147058823529413
Supermarkets,iforest_0.1,isolation_forest,contamination=0.1,51,5,0.09803921568627451,0.9519607843137254,0.8,0.8911764705882353
Supermarkets,lof_10,lof,n_neighbors=10,51,3,0.058823529411764705,0.9911764705882353,0.75,0.8947058823529412
Supermarkets,lof_20,lof,n_neighbors=20,51,3,0.058823529411764705,0.9911764705882353,0.75,0.8947058823529412
Supermarkets,lof_35,lof,n_neighbors=35,51,3,0.058823529411764705,0.9911764705882353,0.75,0.8947058823529412
