business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,kind,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate,anomaly_label,anomaly_type,best_method,best_setting,anomaly_detection_scope,anomaly_strength
LOFT Palestine,Fashion,4392.0,2026-03-16,0.0,Monday,3,reel,ستايل شبابي بلمسة عصرية له ولها ✨ اختيارات مميزة وإطلالات كاملة من LOFT. للطلب التواصل على الرسائل 📩 رام الله - ايكون مول - ط2,133,0,2,250.0,4.0,52500.0,Arabic,True,False,0.0,True,False,False,True,0.0,,254.0,0.0578324225865209,0.0569216757741347,0.0009107468123861,11.953551912568306,0.0048380952380952,2026-03-16/2026-03-22,0,1,night,medium,none,few,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0578324225865209
LOFT Palestine,Fashion,4392.0,2026-03-07,0.0,Saturday,3,reel,ستايل يناسبك، وتجربة تستحق الزيارة ✨ زورونا في ايكون مول رام الله - مرحبا - ط2,82,0,1,87.0,0.0,1200000.0,Arabic,True,False,0.0,True,False,False,True,0.0,,87.0,0.0198087431693989,0.0198087431693989,0.0,273.224043715847,7.25e-05,2026-03-02/2026-03-08,0,1,night,medium,none,few,high,small,1,1,0,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0198087431693989
LOFT Palestine,Fashion,4392.0,2026-03-05,0.0,Thursday,3,reel,#LOFTSTYLE #Menstyle,21,2,0,97.0,0.0,706000.0,English,False,False,0.0,False,False,False,False,0.0,,97.0,0.0220856102003643,0.0220856102003643,0.0,160.74681238615665,0.0001373937677053,2026-03-02/2026-03-08,0,1,night,short,few,none,high,small,1,1,0,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0220856102003643
KOTON Palestine,Fashion,61700.0,2024-09-29,0.0,Sunday,9,reel,بدكم تكونو من المميزين؟📍 منستناكم كل يوم 🫶 koton koton #kotonkids #kotonesarp #love #adore #trend #music #custome #clothes #shopping #happy #happybirthday #happylife #beuty #fashion #fashionblogger #fashionstyle #hi 😌 #bye,249,15,4,307.0,0.0,106000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,307.0,0.0049756888168557,0.0049756888168557,0.0,1.7179902755267422,0.0028962264150943,2024-09-23/2024-09-29,0,1,night,long,many,many,high,large,1,1,0,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0049756888168557
Mikkawi 1955,Fashion,55900.0,2025-05-21,0.0,Wednesday,5,reel,زيارة استثنائية للراقية أسيل لمكاوي فاشن هاوس نابلس! ❤️ تابعوا الجزء من زيارتها وتجربة التسوق الفريدة بالريل ✨ #نابلس #جنين #رام_الله #جيبوكس #nablus #mikkawiSS2025 #newlady #newcollection #newman #fyp #geox,222,10,3,1275.0,0.0,1900000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,1275.0,0.0228085867620751,0.0228085867620751,0.0,33.98926654740608,0.0006710526315789,2025-05-19/2025-05-25,0,1,night,long,many,few,high,medium,1,1,0,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0228085867620751
Mikkawi 1955,Fashion,55900.0,2026-04-28,0.0,Tuesday,4,reel,بدلة Di Porto صُممت لتكون الاختيار الأمثل لهذا الموسم 👔 البدلة المثالية للسفر والعمل الطويل تبقى بكامل أناقتك ✨ مصنوعة من أقمشة Di Porto Fit الإيطالية الفاخرة تمنح Cool Wool النسيج المثالي والبارد ❄️ اطلبها من خلال متجرنا الإلكتروني أو من الرسائل أو تفضل بزيارة معارضنا لمشاهدة التشكيلة الكاملة! 00972592077766 #نابلس #رام_الله #جنين #شوبمان ramallah #nablus #jenin #newman #DiPorto #mikkawiSS2026 #newcollection,531,11,6,187.0,4.0,61600.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,0.0,,191.0,0.0034168157423971,0.003345259391771,7.155635062611807e-05,1.101967799642218,0.0031006493506493,2026-04-27/2026-05-03,0,1,night,long,many,many,medium,medium,0,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0034168157423971
Shamsboutique,Fashion,739.0,2026-03-22,0.0,Sunday,3,reel,"الجاكيت الأكثر طلباً ❤️
متوفر ب 4 ألوان عرض أقل",47,0,1,13.0,6.0,1600.0,Arabic,False,True,0.0,False,False,False,True,0.0,,19.0,0.0257104194857916,0.0175913396481732,0.0081190798376184,2.165087956698241,0.011875,2026-03-16/2026-03-22,0,1,night,short,none,few,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0257104194857916
Shamsboutique,Fashion,739.0,2026-05-05,0.0,Tuesday,5,reel,متوفر منه عدة ألوان 🌿,21,0,1,23.0,3.0,7081.0,Arabic,False,True,0.0,False,False,False,True,1.0,,26.0,0.0351826792963464,0.0311231393775372,0.0040595399188092,9.581867388362651,0.0036717977686767,2026-05-04/2026-05-10,0,1,night,short,none,few,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0351826792963464
متجر الأميرات للسيدات,Fashion,5600.0,2026-05-07,0.0,Thursday,5,reel,شوفو هاد التايجر شو حلووو 🔥🔥🔥 أحلى تونيك للعيد ❤️🔥🔥🔥 التوصيل متاح لكافة المحافظات 🚚🚚 عرض أقل,92,0,9,103.0,17.0,3200.0,Arabic,True,True,0.0,False,True,False,True,0.0,,120.0,0.0214285714285714,0.0183928571428571,0.0030357142857142,0.5714285714285714,0.0375,2026-05-04/2026-05-10,0,1,night,medium,none,many,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0214285714285714
متجر الأميرات للسيدات,Fashion,5600.0,2026-05-04,0.0,Monday,5,reel,وصلتلك بضاعة العيد 🔥🔥🔥🔥🔥🔥 أجمل وأرقى وأفخم خامة موديلات متوفرة حصريًا في متجرنا ❤️❤️❤️ التايجر بعدة ألوان وأحجام بتلبس لغاية ٥٨، التوصيل لكافة المحافظات 🚚🚚🚚🚚 الكمية محدودة. عرض أقل,180,0,13,68.0,10.0,1700.0,Arabic,True,True,0.0,False,True,False,True,0.0,,78.0,0.0139285714285714,0.0121428571428571,0.0017857142857142,0.3035714285714285,0.0458823529411764,2026-05-04/2026-05-10,0,1,night,long,none,many,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0139285714285714
