sector,week,total_engagement,avg_engagement_rate,total_likes,total_comments,total_views,total_posts,active_businesses,sector_growth,sector_trend_class
Cafes/Restaurants,2020-05-18/2020-05-24,63.0,0.0217241379310344,47.0,16.0,0.0,1,1,0.0,stable
Cafes/Restaurants,2020-08-31/2020-09-06,0.0,0.0,0.0,0.0,279.0,1,1,-1.0,declining
Cafes/Restaurants,2022-05-02/2022-05-08,90.0,0.0310344827586206,65.0,25.0,0.0,1,1,0.0,stable
Cafes/Restaurants,2022-09-12/2022-09-18,62.0,0.0213793103448275,58.0,4.0,0.0,1,1,-0.3111111111111119,declining
Cafes/Restaurants,2023-01-09/2023-01-15,2052.0,0.0114190317195325,2035.0,17.0,789900.0,3,1,-0.4658840002154132,declining
Cafes/Restaurants,2023-01-23/2023-01-29,1303.0,0.0217529215358931,1298.0,5.0,42700.0,1,1,0.9049707602339223,improving
Cafes/Restaurants,2023-01-30/2023-02-05,721.0,0.0074445347509005996,715.0,6.0,28578.0,2,2,-0.6577685099163875,declining
Cafes/Restaurants,2023-02-13/2023-02-19,141.0,0.0023539232053422,138.0,3.0,9430.0,1,1,-0.6838051961464167,declining
Cafes/Restaurants,2023-02-20/2023-02-26,34.0,0.0201064458900059,32.0,2.0,1479.0,1,1,7.54167453057711,improving
Cafes/Restaurants,2023-03-06/2023-03-12,1.0,4.385964912280701e-05,0.0,1.0,747.0,1,1,-0.9978186274509804,declining
Cafes/Restaurants,2023-03-13/2023-03-19,46.0,0.009067612852355533,42.0,4.0,2694.0,3,1,205.7415730337062,improving
Cafes/Restaurants,2023-03-20/2023-03-26,361.0,0.0079166666666666,354.0,7.0,16358.0,2,1,-0.1269293478260871,declining
Cafes/Restaurants,2023-03-27/2023-04-02,155.0,0.0025876460767946,148.0,7.0,90600.0,1,1,-0.6731394429312056,declining
Cafes/Restaurants,2023-04-03/2023-04-09,1152.0,0.01750750519872295,1142.0,10.0,42100.0,2,2,5.765803621958246,improving
Cafes/Restaurants,2023-04-10/2023-04-16,520.0,0.0228070175438596,516.0,4.0,12800.0,1,1,0.30269945860265746,improving
Cafes/Restaurants,2023-04-17/2023-04-23,1030.0,0.00859766277128543,1021.0,9.0,60687.0,2,1,-0.6230255554128687,declining
Cafes/Restaurants,2023-04-24/2023-04-30,515.0,0.0085976627712854,510.0,5.0,26900.0,1,1,-3.4416913763379853e-15,stable
Cafes/Restaurants,2023-05-01/2023-05-07,212.0,0.009298245614035,209.0,3.0,6643.0,1,1,0.08148526656446875,stable
Cafes/Restaurants,2023-05-15/2023-05-21,375.0,0.0164473684210526,371.0,4.0,12400.0,1,1,0.7688679245283152,improving
Cafes/Restaurants,2023-05-29/2023-06-04,144.0,0.0063157894736842,140.0,4.0,14400.0,1,1,-0.6159999999999999,declining
Cafes/Restaurants,2023-06-12/2023-06-18,227.0,0.0099561403508771,224.0,3.0,7084.0,1,1,0.5763888888888768,improving
Cafes/Restaurants,2023-06-26/2023-07-02,1866.0,0.0818421052631579,1858.0,8.0,61000.0,1,1,7.220264317180693,improving
Cafes/Restaurants,2023-07-17/2023-07-23,124.0,0.005438596491228,122.0,2.0,5456.0,1,1,-0.9335476956055743,declining
Cafes/Restaurants,2023-07-24/2023-07-30,204.0,0.0089473684210526,201.0,3.0,6885.0,1,1,0.6451612903225961,improving
Cafes/Restaurants,2023-08-14/2023-08-20,2354.0,0.0392988313856427,2347.0,7.0,108000.0,1,1,3.3922223313365523,improving
Cafes/Restaurants,2023-08-21/2023-08-27,938.0,0.0156594323873121,930.0,8.0,308000.0,1,1,-0.6015293118096874,declining
Cafes/Restaurants,2023-08-28/2023-09-03,125.0,0.0020868113522537,118.0,7.0,127000.0,1,1,-0.866737739872071,declining
Cafes/Restaurants,2023-09-11/2023-09-17,1865.0,0.0140638149352234,1849.0,16.0,468433.0,3,2,5.739380116959234,improving
Cafes/Restaurants,2023-09-25/2023-10-01,320.0,0.0140350877192982,315.0,5.0,16800.0,1,1,-0.0020426332440744988,stable
Cafes/Restaurants,2024-04-08/2024-04-14,4.0,0.0006153846153846,3.0,1.0,58000.0,1,1,-0.9561538461538471,declining
Cafes/Restaurants,2024-08-19/2024-08-25,22.0,0.0033846153846153,18.0,4.0,0.0,1,1,4.5,improving
Cafes/Restaurants,2024-09-02/2024-09-08,358.0,0.0275384615384615,353.0,5.0,0.0,2,1,7.1363636363638285,improving
Cafes/Restaurants,2024-09-09/2024-09-15,140.0,0.0215384615384615,134.0,6.0,0.0,1,1,-0.21787709497206742,declining
Cafes/Restaurants,2024-09-30/2024-10-06,1783.0,0.13715384615384615,1757.0,26.0,0.0,2,1,5.367857142857154,improving
Cafes/Restaurants,2024-11-11/2024-11-17,42.0,0.0064615384615384,40.0,2.0,4200000.0,1,1,-0.9528883903533375,declining
Cafes/Restaurants,2024-11-18/2024-11-24,807.0,0.062076923076923,802.0,5.0,3042000.0,2,1,8.607142857142938,improving
Cafes/Restaurants,2024-11-25/2024-12-01,16.0,0.0024615384615384,13.0,3.0,1400000.0,1,1,-0.9603469640644371,declining
Cafes/Restaurants,2024-12-02/2024-12-08,199.0,0.009598290598290532,196.0,3.0,1400000.0,3,2,2.899305555555626,improving
Cafes/Restaurants,2024-12-09/2024-12-15,111.0,0.0085384615384615,108.0,3.0,2025000.0,2,1,-0.11041852181656064,declining
Cafes/Restaurants,2024-12-16/2024-12-22,927.0,0.1426153846153846,920.0,7.0,0.0,1,1,15.702702702702776,improving
Cafes/Restaurants,2024-12-30/2025-01-05,20.0,0.0002469135802469,15.0,5.0,0.0,1,1,-0.9982686750036626,declining
Cafes/Restaurants,2025-01-13/2025-01-19,114.0,0.0175384615384615,114.0,0.0,0.0,1,1,70.03076923077299,improving
Cafes/Restaurants,2025-01-20/2025-01-26,3.0,3.703703703703704e-05,2.0,1.0,0.0,1,1,-0.9978882391163093,declining
Cafes/Restaurants,2025-02-17/2025-02-23,5.0,6.17283950617284e-05,4.0,1.0,0.0,1,1,0.6666666666666665,improving
Cafes/Restaurants,2025-02-24/2025-03-02,18.0,0.0012431149097815457,15.0,3.0,0.0,2,2,19.13846153846104,improving
Cafes/Restaurants,2025-03-03/2025-03-09,969.0,0.0069712230215827,963.0,6.0,0.0,1,1,4.607866953190806,improving
Cafes/Restaurants,2025-03-10/2025-03-16,48.0,0.0003453237410071,44.0,4.0,0.0,1,1,-0.950464396284843,declining
Cafes/Restaurants,2025-03-17/2025-03-23,5.0,1.7985611510791367e-05,4.0,1.0,0.0,2,2,-0.9479166666666524,declining
Cafes/Restaurants,2025-04-07/2025-04-13,16.0,0.00064,14.0,2.0,6200.0,1,1,34.584,improving
Cafes/Restaurants,2025-04-21/2025-04-27,1300.0,0.0093525179856115,1300.0,0.0,0.0,1,1,13.613309352517968,improving
Cafes/Restaurants,2025-04-28/2025-05-04,1209.0,0.00439876670092495,1206.0,3.0,0.0,2,2,-0.5296703296703317,declining
Cafes/Restaurants,2025-05-05/2025-05-11,198.0,0.0304615384615384,196.0,2.0,0.0,1,1,5.925017972681548,improving
Cafes/Restaurants,2025-06-02/2025-06-08,2252.0,0.005439248601119033,2207.0,45.0,0.0,3,2,-0.8214388085491223,declining
Cafes/Restaurants,2025-06-23/2025-06-29,593.0,0.0042661870503597,580.0,13.0,0.0,1,1,-0.2156661033139753,declining
Cafes/Restaurants,2025-07-07/2025-07-13,1.0,2.380952380952381e-05,1.0,0.0,0.0,1,1,-0.9944190154982735,declining
Cafes/Restaurants,2025-07-28/2025-08-03,3.0,0.0004615384615384,3.0,0.0,0.0,1,1,18.3846153846128,improving
Cafes/Restaurants,2025-08-11/2025-08-17,300.0,0.012,285.0,15.0,240000.0,1,1,25.000000000003467,improving
Cafes/Restaurants,2025-11-03/2025-11-09,44.0,0.0003165467625899,42.0,2.0,0.0,1,1,-0.9736211031175084,declining
Cafes/Restaurants,2025-11-17/2025-11-23,989.0,0.009607145242070101,961.0,28.0,2200000.0,2,2,29.34984519654233,improving
Cafes/Restaurants,2025-11-24/2025-11-30,20.0,0.0002469135802469,3.0,17.0,0.0,1,1,-0.9742989645700728,declining
Cafes/Restaurants,2025-12-01/2025-12-07,1520.0,0.006050400568434099,1296.0,224.0,0.0,4,3,23.504122302159452,improving
Cafes/Restaurants,2025-12-08/2025-12-14,350.0,0.0083333333333333,66.0,284.0,0.0,1,1,0.37731927648057284,improving
Cafes/Restaurants,2025-12-15/2025-12-21,226.0,0.0013506437389770663,24.0,202.0,162000.0,4,2,-0.8379227513227514,declining
Cafes/Restaurants,2025-12-22/2025-12-28,338.0,0.0044005408583186216,323.0,15.0,392000.0,3,3,2.258106287636922,improving
Cafes/Restaurants,2026-02-16/2026-02-22,1212.0,0.0026596855368933537,1203.0,9.0,699000.0,5,5,-0.3956003085698928,declining
Cafes/Restaurants,2026-02-23/2026-03-01,248.0,0.0008530410958903801,220.0,28.0,10000.0,5,2,-0.6792699422328043,declining
Cafes/Restaurants,2026-03-02/2026-03-08,6.0,6.777777777777778e-05,3.0,3.0,226000.0,4,2,-0.9205457062921063,declining
Cafes/Restaurants,2026-03-09/2026-03-15,381.0,0.0008997009354042281,226.0,155.0,14000.0,8,6,12.274276096127954,improving
Cafes/Restaurants,2026-03-16/2026-03-22,580.0,0.00075798134759106,575.0,5.0,15000.0,6,4,-0.1575185511499937,declining
Cafes/Restaurants,2026-03-23/2026-03-29,236.0,0.001031905516184798,230.0,6.0,365000.0,5,3,0.36138642390646725,improving
Cafes/Restaurants,2026-03-30/2026-04-05,2756.0,0.002631819006950224,2620.0,136.0,166200.0,11,5,1.5504457197599733,improving
Cafes/Restaurants,2026-04-06/2026-04-12,4991.0,0.0036478376647269884,4970.0,21.0,313779.0,14,6,0.3860518732836937,improving
Cafes/Restaurants,2026-04-13/2026-04-19,8363.0,0.010117097578366608,8273.0,90.0,146999.0,16,7,1.7734506050514702,improving
Cafes/Restaurants,2026-04-20/2026-04-26,5022.0,0.002643117769472997,4986.0,36.0,186902.0,20,7,-0.7387474274119115,declining
Cafes/Restaurants,2026-04-27/2026-05-03,2617.0,0.0012912530215149565,2583.0,34.0,139688.0,22,8,-0.5114659526607415,declining
Cafes/Restaurants,2026-05-04/2026-05-10,498.0,0.0017770840385614968,491.0,7.0,159202.0,18,7,0.3762477291062145,improving
Fashion,2023-05-01/2023-05-07,77.0,0.0052027027027027,77.0,0.0,4788.0,1,1,0.0,stable
Fashion,2023-05-15/2023-05-21,68.0,0.0045945945945945,68.0,0.0,39800.0,1,1,-0.11688311688313457,declining
Fashion,2023-05-22/2023-05-28,60.0,0.004054054054054,59.0,1.0,4642.0,1,1,-0.11764705882352311,declining
Fashion,2023-05-29/2023-06-04,15.0,0.0010135135135135,15.0,0.0,2282.0,1,1,-0.75,declining
