ds,y,yhat,yhat_lower,yhat_upper,forecast_type,business_name,model,model_key,aggregation,target,target_transform,changepoint_prior_scale,seasonality_mode,yearly_seasonality,weekly_seasonality
2025-08-11,16.171074074074113,9.09729064299836,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-08-18,11.022913793103466,9.14677752545076,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-08-25,6.572280701754386,8.583089044292246,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-09-01,20.40580392156871,8.351304427278544,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-09-08,5.047,9.030456906875363,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-09-15,16.991568181818206,10.058490484009114,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-09-22,7.501568181818206,10.429597093591468,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-09-29,9.916808510638297,9.986543605317843,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-10-06,4.990238095238095,9.59687494650616,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-10-13,13.782458333333375,9.929268746599115,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-10-20,9.242964912280721,10.433220089519367,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-10-27,8.035263157894738,9.960338555452488,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-11-03,6.577111111111112,8.339622260783427,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-11-10,6.220301587301604,6.84792875452073,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-11-17,7.92825,6.791249803208982,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-11-24,7.9879591836734685,7.849407143363088,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-12-01,6.537457627118644,8.319894429057186,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-12-08,13.683296296296335,7.1445076580940245,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-12-15,6.9301836734694096,5.320046648912385,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-12-22,4.924791666666667,4.889032075440207,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2025-12-29,5.236341463414634,6.591790669583012,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-01-05,10.041176470588235,8.946558925069379,,,test,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-01-12,,10.293727604483642,6.182211728403405,14.452980571021314,future,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-01-19,,9.607902649123684,5.568314523041814,13.653980091837887,future,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-01-26,,8.649614404240884,4.446960838528852,12.529676024662187,future,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-02-02,,9.014821730724107,5.056735359744383,13.141293468206669,future,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-02-09,,10.529067818357127,6.721518720374745,14.160363051735716,future,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-02-16,,11.620028360706074,7.763334577682261,15.46075307901818,future,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-02-23,,11.28628281996452,7.177549081803576,15.153927555898768,future,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
2026-03-02,,10.1992535236776,6.298411869014982,13.893865650152566,future,All Platforms,prophet,prophet_cp_0.1_additive_yearly_True,weekly,Engagement_Rate,clipped_at_99th_percentile,0.1,additive,True,False
