business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,kind,engagement,engagement_rate,like_rate,comment_rate,view_rate,view_engagement_rate,week,is_video,is_reel,posting_time_bin,caption_length_bin,hashtags_count_bin,emoji_count_bin,engagement_level,business_size_bin,high_engagement,high_view_rate,high_comment_rate,anomaly_label,anomaly_type,best_method,best_setting,anomaly_detection_scope,anomaly_strength
LOFT Palestine,Fashion,4392.0,2026-03-16,0.0,Monday,3,reel,ستايل شبابي بلمسة عصرية له ولها ✨ اختيارات مميزة وإطلالات كاملة من LOFT. للطلب التواصل على الرسائل 📩 رام الله - ايكون مول - ط2,133,0,2,250.0,4.0,52500.0,Arabic,True,False,0.0,True,False,False,True,0.0,,254.0,0.0578324225865209,0.0569216757741347,0.0009107468123861,11.953551912568306,0.0048380952380952,2026-03-16/2026-03-22,0,1,night,medium,none,few,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0578324225865209
Angel shop PS,Fashion,14000.0,2025-12-28,0.0,Sunday,12,reel,إحرام كبيسات مصنوع من قطن طبيعي فاخر بعناية عالية، يمنحك نعومة فائقة وتهوية مريحة مع ثبات عملي يرافقك أثناء أداء النسك بهدوء واطمئنان. غير شفاف ومناسب مع أغلب الأحجام. مصمم ليبقيك ثابتة مع الحركة دون تثبيت أو انشغال. لأن الخشوع يبدأ من اختيارك الصحيح. اطلبيه الآن 🤍,265,0,1,614.0,139.0,260000.0,Arabic,True,True,0.0,False,True,False,True,0.0,,753.0,0.0537857142857142,0.0438571428571428,0.0099285714285714,18.571428571428573,0.0028961538461538,2025-12-22/2025-12-28,0,1,night,long,none,few,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0537857142857142
Hala Fashion هلا فاشن,Fashion,1000.0,2026-05-06,0.0,Wednesday,5,reel,"استغلوا العروض 🔥🔥 4 بلايز 200 شيكل 🔥
متوفر شحن للبلد ✅ #البسة
اضغطوا رابط الواتساب للطلب
https://wa.me/message/RFDIULPVLDVTN1
ملاحظة: متوفر كتالوج كامل لجميع الملابس 👕
عروضات مستمرة متابعة لصفحتنا ليوصلكم كل جديد هلا فاشن 💚🤍
متوفر توصيل لجميع المناطق 🚚
لطلبك ابعت واتساب على الرقم: 0595426355 📲
📍 هلا فاشن أو اضغط خرائط
جنين – شارع أبو بكر – قريب من مطعم الأقصى.",362,1,10,50.0,3.0,4000.0,Arabic/English Mixed,True,True,0.0,True,False,False,True,1.0,,53.0,0.053,0.05,0.003,4.0,0.01325,2026-05-04/2026-05-10,0,1,night,long,few,many,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.053
Shamsboutique,Fashion,739.0,2026-05-05,0.0,Tuesday,5,reel,متوفر منه عدة ألوان 🌿,21,0,1,23.0,3.0,7081.0,Arabic,False,True,0.0,False,False,False,True,1.0,,26.0,0.0351826792963464,0.0311231393775372,0.0040595399188092,9.581867388362651,0.0036717977686767,2026-05-04/2026-05-10,0,1,night,short,none,few,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0351826792963464
متجر الأميرات للسيدات,Fashion,5600.0,2026-05-04,0.0,Monday,5,reel,شفتي أرقى من هيك موديل قبل؟ 🔥🔥🔥🔥 بضاعة العيد السنة غيررر، حصريًا في متجرنا متوفر نمر من ٤٠ ل ٥٨ التوصيل متاح لكل المحافظات 🚚🚚 عرض أقل,133,0,6,170.0,20.0,1000.0,Arabic,True,True,0.0,False,True,False,True,1.0,,190.0,0.0339285714285714,0.0303571428571428,0.0035714285714285,0.1785714285714285,0.19,2026-05-04/2026-05-10,0,1,night,medium,none,many,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.0339285714285714
Robian Restaurant,Cafes/Restaurants,6500.0,2024-12-18,0.0,Wednesday,12,Image,صحن نودلز وخضار مقرمشه مع الدجاج او الشريمبس، وعيش جو وبوارات تدفي القلب ❤️ 026638484 مطعم روبيان - القدس #نودلز_روبيان 🍜 التوصيل متاح الى كل مناطق #القدس,178,3,2,920.0,7.0,0.0,Arabic,True,True,0.0,True,False,True,True,1.0,,927.0,0.1426153846153846,0.1415384615384615,0.001076923076923,0.0,0.0,2024-12-16/2024-12-22,0,0,night,long,few,few,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1426153846153846
Robian Restaurant,Cafes/Restaurants,6500.0,2024-10-01,0.0,Tuesday,10,Image,الأفضل يعني الأفضل #سوشي_روبيان ✅ القدس - شقفاط - الشارع الرئيسي 026638484,87,1,1,894.0,14.0,0.0,Arabic,True,True,0.0,True,False,True,True,0.0,,908.0,0.1396923076923077,0.1375384615384615,0.0021538461538461,0.0,0.0,2024-09-30/2024-10-06,0,0,night,medium,few,few,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1396923076923077
Robian Restaurant,Cafes/Restaurants,6500.0,2024-10-06,0.0,Sunday,10,Image,الأفضل يعني الأفضل #سوشي_روبيان ✅ القدس - شقفاط - الشارع الرئيسي 026638484,87,1,1,863.0,12.0,0.0,Arabic,True,True,0.0,True,False,True,True,0.0,,875.0,0.1346153846153846,0.1327692307692307,0.0018461538461538,0.0,0.0,2024-09-30/2024-10-06,0,0,night,medium,few,few,high,small,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1346153846153846
REXOS Café & Restaurant,Cafes/Restaurants,42000.0,2026-04-18,0.0,Saturday,4,Reel,بصراحة مافي اشي اهم من الاكل؟ 😂💐,35,0,2,5600.0,20.0,8100.0,Arabic,False,False,0.0,False,False,False,True,0.0,,5620.0,0.1338095238095238,0.1333333333333333,0.0004761904761904,0.1928571428571428,0.6938271604938272,2026-04-13/2026-04-19,0,1,night,short,none,few,high,medium,1,0,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1338095238095238
Robian Restaurant,Cafes/Restaurants,6500.0,2024-11-18,0.0,Monday,11,Reel,البحر عالم لحاله، كل منطقه #القدس 026638484,49,1,0,771.0,5.0,42000.0,Arabic,True,False,0.0,True,False,True,True,0.0,,776.0,0.1193846153846153,0.1186153846153846,0.0007692307692307,6.461538461538462,0.0184761904761904,2024-11-18/2024-11-24,0,1,night,short,few,none,high,small,1,1,1,-1,positive_anomaly,isolation_forest,contamination=0.05,sector_based,0.1193846153846153
