ds,y,yhat,yhat_lower,yhat_upper,forecast_type,business_name,model,aggregation,target,changepoint_prior_scale,seasonality_mode,yearly_seasonality
2025-08-11,16.171074074074113,8.103178521904695,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-08-18,11.022913793103466,8.091554655382826,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-08-25,6.572280701754386,8.079930788860954,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-09-01,20.40580392156871,8.068306922339085,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-09-08,5.047,8.056683055817214,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-09-15,16.991568181818206,8.045059189295344,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-09-22,7.501568181818206,8.033435322773474,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-09-29,9.916808510638297,8.021811456251601,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-10-06,4.990238095238095,8.010187589729734,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-10-13,13.782458333333375,7.998563723207862,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-10-20,9.242964912280721,7.986939856685992,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-10-27,8.035263157894738,7.9753159901641215,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-11-03,6.577111111111112,7.963692123642252,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-11-10,6.220301587301604,7.952068257120381,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-11-17,7.92825,7.940444390598511,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-11-24,7.9879591836734685,7.928820524076641,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-12-01,6.537457627118644,7.91719665755477,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-12-08,13.683296296296335,7.905572791032899,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-12-15,6.9301836734694096,7.8939489245110295,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-12-22,4.924791666666667,7.882325057989159,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2025-12-29,5.236341463414634,7.870701191467289,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-01-05,10.041176470588235,7.859077324945416,,,test,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-01-12,,10.913976623694092,6.321656344218296,15.863484140977501,future,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-01-19,,10.954872996887694,6.23612044571032,15.910407972386881,future,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-01-26,,10.995769370081295,6.617415780145729,15.884104786107413,future,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-02-02,,11.036665743274899,6.164446161347972,15.601307600644216,future,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-02-09,,11.077562116468501,6.807868914179514,15.604313272968577,future,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-02-16,,11.118458489662101,6.402935735396,15.429166506999714,future,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-02-23,,11.159354862855704,6.455617020850979,15.75246227230846,future,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
2026-03-02,,11.200251236049306,6.301057763086693,15.774632855744125,future,All Platforms,prophet,weekly,engagement_rate_clipped,0.01,additive,False
