model,setting,silhouette,clusters,composite_score
hierarchical,"k=8,linkage=average",0.3733120991353719,8,1.55382228393897
hierarchical,"k=7,linkage=average",0.3987371443355184,7,1.446287752233665
hierarchical,"k=7,linkage=complete",0.3987371443355184,7,1.446287752233665
hierarchical,"k=8,linkage=ward",0.33678115530232916,8,1.4209670303030775
kmeans,k=8,0.3259639199460813,8,1.3816270517506055
kmeans,k=7,0.33247350038589984,7,1.2053010078451394
hierarchical,"k=6,linkage=average",0.3791500950081197,6,1.1750538301575393
hierarchical,"k=6,linkage=complete",0.3791500950081197,6,1.1750538301575393
gmm,components=8,0.2647277826171185,8,1.1589242769823553
hierarchical,"k=8,linkage=complete",0.2645128511291492,8,1.1581426169880502
hierarchical,"k=7,linkage=ward",0.3108831282937408,7,1.1267814280197044
hierarchical,"k=5,linkage=average",0.40057571113681156,5,1.0529742276729173
hierarchical,"k=3,linkage=complete",0.4959966948808373,3,1.0
hierarchical,"k=3,linkage=average",0.4959966948808373,3,1.0
gmm,components=7,0.27496468920027384,7,0.9961537235241084
hierarchical,"k=5,linkage=complete",0.3735207180858325,5,0.954580986580308
hierarchical,"k=6,linkage=ward",0.3162658456041414,6,0.9463572231809763
hierarchical,"k=4,linkage=average",0.4151286198198057,4,0.9059000535988917
hierarchical,"k=4,linkage=complete",0.4112984779499962,4,0.8919706442767397
kmeans,k=5,0.30469075210840774,5,0.7042610761648158
hierarchical,"k=5,linkage=ward",0.30190765954235504,5,0.6941395619098063
gmm,components=6,0.24647873872329154,6,0.6925563953801849
kmeans,k=6,0.24193588623381015,6,0.6760350094976065
gmm,components=5,0.24870597402552252,5,0.5006563752859071
kmeans,k=4,0.2979523782198024,4,0.4797550470801145
hierarchical,"k=4,linkage=ward",0.2771370787949116,4,0.40405424128545125
hierarchical,"k=3,linkage=ward",0.31445209066479596,3,0.33976098319327214
gmm,components=3,0.2769704156352879,3,0.2034481229096227
gmm,components=4,0.2210286914839932,4,0.2
kmeans,k=3,0.2560936422958776,3,0.12752374959524782
