business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,view_rate,view_rate_bin
LOFT Palestine,Fashion,4392,1774915200000,Tuesday,March,reel,إطلالة أنثوية بلمسة عصرية ✨ من LOFT. للطلب التواصل على الرسائل 📩 رام الله - ايكون مول - ط2,88,0,2,13.0,0,1391,Arabic,True,False,True,False,False,True,0,0.31671220400728595,avg_view_rate
LOFT Palestine,Fashion,4392,1773792000000,Wednesday,March,reel,اختيارك المثالي لإطلالة كاجول مميزة 🤍✨ LOFT كولكشن للطلب التواصل على الرسائل 📩 رام الله - ايكون مول - ط2,111,0,3,60.0,0,20300,Arabic,True,False,True,False,False,True,0,4.622040072859745,high_view_rate
LOFT Palestine,Fashion,4392,1773619200000,Monday,March,reel,ستايل شبابي بلمسة عصرية له ولها ✨ اختيارات مميزة وإطلالات كاملة من LOFT. للطلب التواصل على الرسائل 📩 رام الله - ايكون مول - ط2,133,0,2,250.0,4,52500,Arabic,True,False,True,False,False,True,0,11.953551912568306,high_view_rate
LOFT Palestine,Fashion,4392,1771286400000,Tuesday,February,reel,#loft brown men long sleeve shirt 40% off,43,1,0,4.0,0,4734,English,False,True,False,False,False,False,0,1.0778688524590163,high_view_rate
LOFT Palestine,Fashion,4392,1771200000000,Monday,February,reel,قميص أكمام طويلة loft#,24,1,0,4.0,0,32000,Arabic,False,False,False,False,False,True,0,7.285974499089253,high_view_rate
LOFT Palestine,Fashion,4392,1775433600000,Monday,April,post,ستايل يناسبك، وتجربة تستحق الزيارة ✨ زورونا في ايكون مول رام الله - سردا - ط2,80,1,1,73.5,0,42250,Arabic,True,True,True,False,False,True,1,9.619763205828779,high_view_rate
Balcon Boutique & Cafe,Fashion,243000,1777939200000,Tuesday,May,reel,,0,0,0,116.0,0,13400,No Caption,False,True,False,False,False,False,0,0.0551440329218107,low_view_rate
Balcon Boutique & Cafe,Fashion,243000,1777939200000,Tuesday,May,reel,,0,0,0,203.0,0,21400,No Caption,False,True,False,False,False,False,0,0.08806584362139917,avg_view_rate
Balcon Boutique & Cafe,Fashion,243000,1777852800000,Monday,May,reel,,0,0,0,148.0,0,18400,No Caption,False,True,False,False,False,False,0,0.0757201646090535,low_view_rate
Balcon Boutique & Cafe,Fashion,243000,1777766400000,Sunday,May,reel,,0,0,0,152.0,0,26900,No Caption,False,True,False,False,False,False,0,0.11069958847736626,avg_view_rate
Balcon Boutique & Cafe,Fashion,243000,1777680000000,Saturday,May,reel,,0,0,0,150.0,0,26100,No Caption,False,True,False,False,False,False,0,0.10740740740740741,avg_view_rate
Balcon Boutique & Cafe,Fashion,243000,1777593600000,Friday,May,reel,RaaQ راقِ لا عليك,18,0,0,343.0,0,43900,Mixed,False,True,False,False,False,True,0,0.18065843621399177,avg_view_rate
Balcon Boutique & Cafe,Fashion,243000,1777420800000,Wednesday,April,reel,,0,0,0,703.0,0,92600,No Caption,False,True,False,False,False,False,0,0.38106995884773665,avg_view_rate
Balcon Boutique & Cafe,Fashion,243000,1778025600000,Wednesday,April,reel,,0,0,0,343.0,0,49600,No Caption,False,True,False,False,False,False,0,0.20411522633744855,avg_view_rate
Balcon Boutique & Cafe,Fashion,243000,1778112000000,Thursday,April,post,Balcon في Balcon.,17,0,0,177.5,0,26500,Mixed,False,True,True,False,False,True,1,0.10905349794238683,avg_view_rate
drift.for.men,Fashion,53500,1761091200000,Wednesday,October,reel,Winter '26 Drop,16,0,0,216.0,2,44900,English,False,True,False,False,False,False,0,0.8392523364485981,high_view_rate
drift.for.men,Fashion,53500,1741305600000,Friday,March,reel,,0,0,0,334.0,1,97000,No Caption,False,True,False,False,False,False,0,1.8130841121495327,high_view_rate
drift.for.men,Fashion,53500,1780876800000,Monday,June,reel,استمتع بالتسوق من خلال زيارة فروعنا 📍 خدمة توصيل متوفرة: +972587591459 +970599133162 موقعنا: نابلس دوار الشهداء عمارة رزق وفرتاج الطابق الاول رام الله شارع الارسال السنتر مول الطابق الاول nablus #ramallah #streetstyle #fashiongram #streetshot,252,4,1,14.0,1,3902,Arabic,True,True,True,False,False,True,0,0.07293457943925234,low_view_rate
drift.for.men,Fashion,53500,1800662400000,Saturday,January,reel,New collection,14,0,0,6.0,0,699,English,False,True,False,False,True,False,0,0.013065420560747663,low_view_rate
Fashion Shop Ramallah,Fashion,16500,1778112000000,Thursday,May,reel,#عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,80,1,24,6.0,0,484,Arabic,False,False,True,False,True,True,0,0.029333333333333333,low_view_rate
Fashion Shop Ramallah,Fashion,16500,1778025600000,Wednesday,May,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,3.0,0,230,Mixed,True,False,True,False,False,True,0,0.013939393939393939,low_view_rate
Fashion Shop Ramallah,Fashion,16500,1777939200000,Tuesday,May,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0,324,Mixed,True,False,True,False,False,True,0,0.019636363636363636,low_view_rate
Fashion Shop Ramallah,Fashion,16500,1777852800000,Monday,May,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,0.0,0,126,Mixed,True,False,True,False,False,True,0,0.0076363636363636364,low_view_rate
Fashion Shop Ramallah,Fashion,16500,1777852800000,Monday,May,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,1.0,0,196,Mixed,True,False,True,False,False,True,0,0.01187878787878788,low_view_rate
Fashion Shop Ramallah,Fashion,16500,1777766400000,Sunday,May,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0,232,Mixed,True,False,True,False,False,True,0,0.01406060606060606,low_view_rate
Fashion Shop Ramallah,Fashion,16500,1777766400000,Sunday,May,reel,#New_colliction #فاشن_شوب_غير_هاي_السنة 😉 👖👚👜🧥 خدمة_التوصيل_متوفرة #عنوان_المحل#دوار_الساعة_شارع_سينما_القصبة_عمارة_الضياء_الشارع_الرئيسي,157,3,28,2.0,0,207,Mixed,True,False,True,False,False,True,0,0.012545454545454545,low_view_rate
