min_support,min_confidence,min_lift,max_antecedent_len,frequent_itemsets_count,valid_rules_before_filtering,final_rule_count,high_view_rate_rule_count,avg_lift,max_lift,avg_confidence,max_confidence
0.01,0.4,1.0,3,13772,157529,3915,1850,1.5913308451928159,3.6136363636363638,0.5203812759999373,1.0
0.01,0.4,1.2,3,13772,157529,3872,1850,1.5963106563318012,3.6136363636363638,0.5212110230826809,1.0
0.01,0.4,1.5,3,13772,157529,2081,1850,1.8658030100871477,3.6136363636363638,0.5391561220404819,1.0
0.01,0.5,1.0,3,13772,151315,3852,1831,1.5964396624749266,3.6136363636363638,0.5216238441751544,1.0
0.01,0.5,1.2,3,13772,151315,3852,1831,1.5964396624749266,3.6136363636363638,0.5216238441751544,1.0
0.01,0.5,1.5,3,13772,151315,2062,1831,1.868338318936751,3.6136363636363638,0.5400681108574644,1.0
0.02,0.4,1.0,3,12856,151389,3634,1794,1.5542800214224053,3.6136363636363638,0.5041656394152428,1.0
0.02,0.4,1.2,3,12856,151389,3592,1794,1.5590777501606055,3.6136363636363638,0.5048449028117901,1.0
0.02,0.4,1.5,3,12856,151389,1838,1794,1.8223460444170894,3.6136363636363638,0.5091173555440981,1.0
0.02,0.5,1.0,3,12856,145535,3577,1780,1.5589939903849825,3.6136363636363638,0.5050913375536376,1.0
0.02,0.5,1.2,3,12856,145535,3577,1780,1.5589939903849825,3.6136363636363638,0.5050913375536376,1.0
0.02,0.5,1.5,3,12856,145535,1824,1780,1.8240093672085214,3.6136363636363638,0.5096146443282666,1.0
0.01,0.4,1.0,2,2914,13390,678,288,1.741902542053988,3.6136363636363638,0.576800108137953,1.0
0.01,0.4,1.2,2,2914,13390,656,288,1.761957084836859,3.6136363636363638,0.5811848879639411,1.0
0.01,0.4,1.5,2,2914,13390,406,288,2.054064976819543,3.6136363636363638,0.6298992099050055,1.0
0.01,0.5,1.0,2,2914,12694,639,272,1.7670976348990355,3.6136363636363638,0.5848837452400004,1.0
0.01,0.5,1.2,2,2914,12694,639,272,1.7670976348990355,3.6136363636363638,0.5848837452400004,1.0
0.01,0.5,1.5,2,2914,12694,390,272,2.0730480839891876,3.6136363636363638,0.637674600412157,1.0
0.02,0.4,1.0,2,2429,11920,543,254,1.6030891410923545,3.6136363636363638,0.5242681697507827,1.0
0.02,0.4,1.2,2,2429,11920,522,254,1.6214758737443258,3.6136363636363638,0.5273812275671641,1.0
0.02,0.4,1.5,2,2429,11920,288,254,1.8924759307727466,3.6136363636363638,0.5478291441220363,1.0
0.02,0.5,1.0,2,2429,11350,509,242,1.6226655252197393,3.6136363636363638,0.5294513029633797,1.0
0.02,0.5,1.2,2,2429,11350,509,242,1.6226655252197393,3.6136363636363638,0.5294513029633797,1.0
0.02,0.5,1.5,2,2429,11350,276,242,1.9049501645811768,3.6136363636363638,0.5523300513070334,1.0
0.01,0.4,2.0,3,13772,157529,157,49,2.6858300490003795,3.6136363636363638,0.8940905874026892,1.0
0.01,0.5,2.0,3,13772,151315,157,49,2.6858300490003795,3.6136363636363638,0.8940905874026892,1.0
0.03,0.4,1.0,3,9238,111080,75,43,2.063372553548075,3.6136363636363638,0.6489925542866718,1.0
0.03,0.4,1.2,3,9238,111080,71,43,2.1129359183235104,3.6136363636363638,0.6595533482443174,1.0
0.03,0.4,1.5,3,9238,111080,61,43,2.233999748734793,3.6136363636363638,0.679816567232189,1.0
0.03,0.5,1.0,3,9238,109327,67,40,2.1492439089227444,3.6136363636363638,0.6720298528902566,1.0
0.03,0.5,1.2,3,9238,109327,67,40,2.1492439089227444,3.6136363636363638,0.6720298528902566,1.0
0.03,0.5,1.5,3,9238,109327,58,40,2.266581163607271,3.6136363636363638,0.6920191595647983,1.0
0.01,0.4,1.0,1,577,751,106,37,2.139724821515887,3.6136363636363638,0.7127501798977937,1.0
0.01,0.4,1.2,1,577,751,100,37,2.1996899012593985,3.6136363636363638,0.7288363140127846,1.0
0.01,0.4,1.5,1,577,751,80,37,2.4214153719659537,3.6136363636363638,0.7830692020397902,1.0
0.02,0.4,2.0,3,12856,151389,59,36,2.3593386019848563,3.6136363636363638,0.7337099811676083,1.0
0.02,0.5,2.0,3,12856,145535,59,36,2.3593386019848563,3.6136363636363638,0.7337099811676083,1.0
0.03,0.4,2.0,3,9238,111080,51,36,2.3197535123531323,3.6136363636363638,0.7037037037037036,1.0
0.03,0.5,2.0,3,9238,109327,51,36,2.3197535123531323,3.6136363636363638,0.7037037037037036,1.0
0.01,0.4,2.0,2,2914,13390,111,30,2.768663971889777,3.6136363636363638,0.9262762762762764,1.0
0.01,0.5,2.0,2,2914,12694,111,30,2.768663971889777,3.6136363636363638,0.9262762762762764,1.0
0.01,0.5,1.0,1,577,700,92,29,2.253647855217961,3.6136363636363638,0.7542130397309424,1.0
0.01,0.5,1.2,1,577,700,92,29,2.253647855217961,3.6136363636363638,0.7542130397309424,1.0
0.01,0.5,1.5,1,577,700,72,29,2.5149978098804002,3.6136363636363638,0.8215208946826594,1.0
0.02,0.4,1.0,1,378,549,64,23,1.8776802327031363,3.6136363636363638,0.6304552830747684,1.0
0.02,0.4,1.2,1,378,549,59,23,1.9394707165978027,3.6136363636363638,0.6459291843638804,1.0
0.03,0.4,1.0,2,1895,9684,52,23,2.097208536822736,3.6136363636363638,0.6839102011613322,1.0
0.03,0.4,1.2,2,1895,9684,49,23,2.1531423556822427,3.6136363636363638,0.6975247974647734,1.0
0.02,0.4,1.5,1,378,549,42,23,2.1909472881941707,3.6136363636363638,0.6993268247469929,1.0
0.03,0.4,1.5,2,1895,9684,40,23,2.3296060270769714,3.6136363636363638,0.734369837678661,1.0
0.03,0.5,1.0,2,1895,9441,45,20,2.2107748250063235,3.6136363636363638,0.7194761665349899,1.0
0.03,0.5,1.2,2,1895,9441,45,20,2.2107748250063235,3.6136363636363638,0.7194761665349899,1.0
0.03,0.5,1.5,2,1895,9441,37,20,2.388431456742653,3.6136363636363638,0.7579214638038169,1.0
0.02,0.5,1.0,1,378,522,53,17,1.9791091968072738,3.6136363636363638,0.669262886576982,1.0
0.02,0.5,1.2,1,378,522,53,17,1.9791091968072738,3.6136363636363638,0.669262886576982,1.0
0.02,0.4,2.0,2,2429,11920,39,17,2.5142830287991567,3.6136363636363638,0.8136752136752139,1.0
0.02,0.5,2.0,2,2429,11350,39,17,2.5142830287991567,3.6136363636363638,0.8136752136752139,1.0
0.02,0.5,1.5,1,378,522,36,17,2.2912167015463982,3.6136363636363638,0.7425788264023558,1.0
0.03,0.4,2.0,2,1895,9684,31,17,2.4891448301958174,3.6136363636363638,0.7849462365591401,1.0
0.03,0.5,2.0,2,1895,9441,31,17,2.4891448301958174,3.6136363636363638,0.7849462365591401,1.0
0.01,0.6,1.0,3,13772,132211,246,15,2.2924800562360144,3.6136363636363638,0.8275516648185229,1.0
0.01,0.6,1.2,3,13772,132211,246,15,2.2924800562360144,3.6136363636363638,0.8275516648185229,1.0
0.01,0.6,1.5,3,13772,132211,246,15,2.2924800562360144,3.6136363636363638,0.8275516648185229,1.0
0.01,0.6,1.0,2,2914,11412,133,15,2.5617154763172088,3.6136363636363638,0.8965742572332577,1.0
0.01,0.6,1.2,2,2914,11412,133,15,2.5617154763172088,3.6136363636363638,0.8965742572332577,1.0
0.01,0.6,1.5,2,2914,11412,133,15,2.5617154763172088,3.6136363636363638,0.8965742572332577,1.0
0.01,0.6,2.0,3,13772,132211,123,15,2.8733149750852336,3.6136363636363638,0.987669376693767,1.0
0.01,0.6,2.0,2,2914,11412,96,15,2.8875840053763433,3.6136363636363638,0.9842013888888889,1.0
0.01,0.4,2.0,1,577,751,48,13,2.8773399315738026,3.6136363636363638,0.9517361111111112,1.0
0.01,0.5,2.0,1,577,700,48,13,2.8773399315738026,3.6136363636363638,0.9517361111111112,1.0
0.01,0.6,1.0,1,577,636,53,10,2.754887511614805,3.6136363636363638,0.93291275871742,1.0
0.01,0.6,1.2,1,577,636,53,10,2.754887511614805,3.6136363636363638,0.93291275871742,1.0
0.01,0.6,1.5,1,577,636,53,10,2.754887511614805,3.6136363636363638,0.93291275871742,1.0
0.01,0.6,2.0,1,577,636,45,10,2.935324209840339,3.6136363636363638,0.978148148148148,1.0
0.03,0.4,1.0,1,318,491,26,8,2.207480349590078,3.6136363636363638,0.7418777175564505,1.0
0.03,0.4,1.2,1,318,491,25,8,2.2484346504223165,3.6136363636363638,0.7530912877971702,1.0
0.03,0.4,1.5,1,318,491,20,8,2.468607829156928,3.6136363636363638,0.8080307764131293,1.0
0.03,0.5,1.0,1,318,473,23,6,2.308657558100673,3.6136363636363638,0.7811378732094845,1.0
0.03,0.5,1.2,1,318,473,23,6,2.308657558100673,3.6136363636363638,0.7811378732094845,1.0
0.03,0.5,1.5,1,318,473,18,6,2.570023008827563,3.6136363636363638,0.8499724676195264,1.0
0.02,0.4,2.0,1,378,549,19,5,2.7301358234295416,3.6136363636363638,0.9087719298245616,1.0
0.02,0.5,2.0,1,378,522,19,5,2.7301358234295416,3.6136363636363638,0.9087719298245616,1.0
0.03,0.4,2.0,1,318,491,14,5,2.781682027649769,3.6136363636363638,0.9047619047619048,1.0
0.03,0.5,2.0,1,318,473,14,5,2.781682027649769,3.6136363636363638,0.9047619047619048,1.0
0.02,0.6,1.0,3,12856,127542,46,2,2.3280142800850654,3.6136363636363638,0.8368342654787666,1.0
0.02,0.6,1.2,3,12856,127542,46,2,2.3280142800850654,3.6136363636363638,0.8368342654787666,1.0
0.02,0.6,1.5,3,12856,127542,46,2,2.3280142800850654,3.6136363636363638,0.8368342654787666,1.0
0.02,0.6,1.0,2,2429,10294,36,2,2.4639322252699856,3.6136363636363638,0.8748437836673132,1.0
0.02,0.6,1.2,2,2429,10294,36,2,2.4639322252699856,3.6136363636363638,0.8748437836673132,1.0
0.02,0.6,1.5,2,2429,10294,36,2,2.4639322252699856,3.6136363636363638,0.8748437836673132,1.0
0.02,0.6,2.0,3,12856,127542,25,2,2.837736070381232,3.6136363636363638,0.9760000000000001,1.0
0.02,0.6,2.0,2,2429,10294,24,2,2.8309750733137826,3.6136363636363638,0.975,1.0
0.02,0.6,1.0,1,378,481,21,2,2.601917608911374,3.6136363636363638,0.9060814069217432,1.0
0.02,0.6,1.2,1,378,481,21,2,2.601917608911374,3.6136363636363638,0.9060814069217432,1.0
0.02,0.6,1.5,1,378,481,21,2,2.601917608911374,3.6136363636363638,0.9060814069217432,1.0
0.03,0.6,1.0,3,9238,109136,20,2,2.7710457474214585,3.6136363636363638,0.9547188106011637,1.0
0.03,0.6,1.2,3,9238,109136,20,2,2.7710457474214585,3.6136363636363638,0.9547188106011637,1.0
0.03,0.6,1.5,3,9238,109136,20,2,2.7710457474214585,3.6136363636363638,0.9547188106011637,1.0
0.03,0.6,1.0,2,1895,9373,19,2,2.7589955236015355,3.6136363636363638,0.9523355901064882,1.0
0.03,0.6,1.2,2,1895,9373,19,2,2.7589955236015355,3.6136363636363638,0.9523355901064882,1.0
0.03,0.6,1.5,2,1895,9373,19,2,2.7589955236015355,3.6136363636363638,0.9523355901064882,1.0
0.03,0.6,2.0,3,9238,109136,17,2,2.944109021907883,3.6136363636363638,1.0,1.0
0.03,0.6,2.0,2,1895,9373,16,2,2.940615835777126,3.6136363636363638,1.0,1.0
0.02,0.6,2.0,1,378,481,16,2,2.865615835777126,3.6136363636363638,0.975,1.0
0.03,0.6,1.0,1,318,459,14,2,2.7351344778831894,3.6136363636363638,0.9353125865730908,1.0
0.03,0.6,1.2,1,318,459,14,2,2.7351344778831894,3.6136363636363638,0.9353125865730908,1.0
