source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
3,1.0778688524590163,high_view_rate,hashtag=loft,hashtag=loft|high_view_rate,1
17,0.07293457943925234,low_view_rate,hashtag=ramallah|hashtag=streetstyle|hashtag=fashiongram|hashtag=streetshot,hashtag=ramallah|hashtag=streetstyle|hashtag=fashiongram|hashtag=streetshot|low_view_rate,4
19,0.029333333333333333,low_view_rate,hashtag=عنوان_المحل,hashtag=عنوان_المحل|low_view_rate,1
20,0.013939393939393939,low_view_rate,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل|low_view_rate,3
21,0.019636363636363636,low_view_rate,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل|low_view_rate,3
22,0.0076363636363636364,low_view_rate,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل|low_view_rate,3
23,0.01187878787878788,low_view_rate,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل|low_view_rate,3
24,0.01406060606060606,low_view_rate,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل|low_view_rate,3
25,0.012545454545454545,low_view_rate,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل|low_view_rate,3
26,0.009515151515151515,low_view_rate,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل,hashtag=new_colliction|hashtag=فاشن_شوب_غير_هاي_السنة|hashtag=عنوان_المحل|low_view_rate,3
37,1.7179902755267422,high_view_rate,hashtag=kotonkids|hashtag=kotonesarp|hashtag=love|hashtag=adore|hashtag=trend|hashtag=music|hashtag=custome|hashtag=clothes|hashtag=shopping|hashtag=happy|hashtag=happybirthday|hashtag=happylife|hashtag=beuty|hashtag=fashion|hashtag=fashionblogger|hashtag=fashionstyle|hashtag=hi|hashtag=bye,hashtag=kotonkids|hashtag=kotonesarp|hashtag=love|hashtag=adore|hashtag=trend|hashtag=music|hashtag=custome|hashtag=clothes|hashtag=shopping|hashtag=happy|hashtag=happybirthday|hashtag=happylife|hashtag=beuty|hashtag=fashion|hashtag=fashionblogger|hashtag=fashionstyle|hashtag=hi|hashtag=bye|high_view_rate,18
39,0.039448946515397085,low_view_rate,hashtag=كوتون|hashtag=كولكشن_الربيع|hashtag=ستايل|hashtag=موضة,hashtag=كوتون|hashtag=كولكشن_الربيع|hashtag=ستايل|hashtag=موضة|low_view_rate,4
40,0.04554294975688817,low_view_rate,hashtag=كوتون|hashtag=كولكشن_الربيع|hashtag=ستايل|hashtag=موضة|hashtag=نيو_كولكشن,hashtag=كوتون|hashtag=كولكشن_الربيع|hashtag=ستايل|hashtag=موضة|hashtag=نيو_كولكشن|low_view_rate,5
41,0.04309562398703404,low_view_rate,hashtag=رام_الله|hashtag=outfitoftheday|hashtag=كوتون|hashtag=koton,hashtag=رام_الله|hashtag=outfitoftheday|hashtag=كوتون|hashtag=koton|low_view_rate,4
42,0.02128038897893031,low_view_rate,hashtag=fashion|hashtag=grwmoutfit|hashtag=كوتون|hashtag=koton,hashtag=fashion|hashtag=grwmoutfit|hashtag=كوتون|hashtag=koton|low_view_rate,4
43,0.020486223662884925,low_view_rate,hashtag=fashion|hashtag=ootd|hashtag=كوتون|hashtag=koton,hashtag=fashion|hashtag=ootd|hashtag=كوتون|hashtag=koton|low_view_rate,4
44,5.545617173524151,high_view_rate,hashtag=نابلس|hashtag=رام_الله|hashtag=جنين|hashtag=ramallah|hashtag=nablus|hashtag=jenin|hashtag=newman|hashtag=newlady|hashtag=geox,hashtag=نابلس|hashtag=رام_الله|hashtag=جنين|hashtag=ramallah|hashtag=nablus|hashtag=jenin|hashtag=newman|hashtag=newlady|hashtag=geox|high_view_rate,9
45,0.18246869409660108,avg_view_rate,hashtag=نابلس|hashtag=رام_الله|hashtag=شوبيدي|hashtag=nablus|hashtag=newlady|hashtag=mikkawiss2026|hashtag=newcollection,hashtag=نابلس|hashtag=رام_الله|hashtag=شوبيدي|hashtag=nablus|hashtag=newlady|hashtag=mikkawiss2026|hashtag=newcollection|avg_view_rate,7
46,0.1172093023255814,avg_view_rate,hashtag=نابلس|hashtag=رام_الله|hashtag=شوبيدي|hashtag=marella|hashtag=ramallah|hashtag=nablus|hashtag=newlady|hashtag=mikkawiss2026|hashtag=newcollection,hashtag=نابلس|hashtag=رام_الله|hashtag=شوبيدي|hashtag=marella|hashtag=ramallah|hashtag=nablus|hashtag=newlady|hashtag=mikkawiss2026|hashtag=newcollection|avg_view_rate,9
47,0.26654740608228983,avg_view_rate,hashtag=نابلس|hashtag=رام_الله|hashtag=جنين|hashtag=شوبمان|hashtag=nablus|hashtag=jenin|hashtag=newman|hashtag=mikkawiss2026|hashtag=newcollection|hashtag=bugatti,hashtag=نابلس|hashtag=رام_الله|hashtag=جنين|hashtag=شوبمان|hashtag=nablus|hashtag=jenin|hashtag=newman|hashtag=mikkawiss2026|hashtag=newcollection|hashtag=bugatti|avg_view_rate,10
