feature_set,metric,k,avg_similarity_quality,engagement_uplift,interpretability,composite_score
content-only,cosine,5,0.8907799999999999,-0.00042370369256980645,0.855,2.61416655280847
content-only,cosine,3,0.9068666666666668,-0.002155005271442964,0.855,2.529088612694806
content-only,cosine,10,0.86616,-0.002263390802662726,0.855,2.4739965565396047
content-only,cosine,15,0.8493066666666668,-0.0022641685248811026,0.855,2.4538431337923434
performance-only,cosine,3,0.9782697137651212,0.0008308848129114771,0.765,2.441162701882687
performance-only,cosine,5,0.972909116608871,0.0007799446872107321,0.765,2.431699397780923
performance-only,cosine,15,0.9534565387479553,0.0005403498791018356,0.765,2.394061924212646
performance-only,cosine,10,0.9622714790153221,4.583745238192105e-05,0.765,2.374795792076719
combined,cosine,3,0.8601479913004888,0.004160664131586472,0.675,2.1478386514680015
combined,cosine,5,0.8450171051952693,0.004100957080368232,0.675,2.1261910705152567
combined,cosine,15,0.8038169180766673,0.004249593381334711,0.675,2.085989698655026
combined,cosine,10,0.8206185930923099,0.0037882480683207355,0.675,2.0782495370120206
content-only,euclidean,3,0.533209373500102,-0.0014380006614571538,0.8075,1.9402111332129235
content-only,euclidean,10,0.42513550580153714,-0.0017782572855714444,0.8075,1.7907830458448162
content-only,euclidean,5,0.48153542625966583,-0.002973506910113647,0.8075,1.7860845678474422
performance-only,euclidean,3,0.6821841538090355,-0.0021627190381358526,0.7224999999999999,1.7409625376808915
content-only,euclidean,15,0.40005354055218784,-0.0023869485756673487,0.8075,1.7242002166877808
content-only,manhattan,3,0.4624888888888889,-0.0014380006614571538,0.76,1.669564748976334
performance-only,euclidean,5,0.6584832542437822,-0.0035255191905253585,0.7224999999999999,1.630610189128753
performance-only,euclidean,10,0.6221313781581006,-0.004698515210971234,0.7224999999999999,1.5165960056817878
content-only,manhattan,5,0.4004761904761905,-0.002973506910113647,0.76,1.50310371191581
content-only,manhattan,10,0.3297650793650794,-0.0017782572855714444,0.76,1.4907284666858414
performance-only,manhattan,3,0.5430269339578786,-0.0017543496508571448,0.68,1.4328712823032657
performance-only,euclidean,15,0.5987506567275152,-0.005869478949276028,0.7224999999999999,1.41817923505428
content-only,manhattan,15,0.29611343915343913,-0.0023869485756673487,0.76,1.413921732194699
performance-only,manhattan,5,0.5155517593490753,-0.002923255119083514,0.68,1.329693655734955
performance-only,manhattan,10,0.4753136401534689,-0.003828189717722439,0.68,1.2271873998586142
performance-only,manhattan,15,0.45057497639876554,-0.004922904790899949,0.68,1.1317427331280039
combined,euclidean,3,0.3342245478019181,-0.005840313510530472,0.6375,0.7710140410713473
combined,euclidean,5,0.3212767731853254,-0.006623451216467052,0.6375,0.7084014423825844
combined,euclidean,10,0.30391449057609743,-0.00812672497947813,0.6375,0.597151069342087
combined,euclidean,15,0.29393184372743997,-0.008776765657491456,0.6375,0.5460919057690131
combined,manhattan,3,0.1793535020910014,-0.008577723732304612,0.6000000000000001,0.2743248915151564
combined,manhattan,5,0.16638664305287906,-0.009975028938176748,0.6000000000000001,0.17470049668084164
combined,manhattan,10,0.1495001698241189,-0.011314849048697112,0.6000000000000001,0.07386198645161719
combined,manhattan,15,0.14006995719042503,-0.012354452100828538,0.6000000000000001,0.0
