business_name,sector,followers_count,post_date,posting_hour,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,discount_percent,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
Ramallah Care Pharmacy,pharmacy,13666,2025-12-16,22,Tuesday,12,carousel,صحتك بتهمنا Swipe وشوفوا الباقي. موجودين في Rafah today. منتج فلسطيني زورونا وخلينا نجهزلك طلبك. #تعليم #مخبز,109,2,0,271,41,10452,Mixed,True,False,0.0,True,False,True,False
Nablus Bites,restaurant,12838,2025-10-18,20,Saturday,10,video,اليوم عنا أكل طيب فيديو جديد. احنا جاهزين احجز الآن وخليها علينا #عيادة #تعليم,78,2,0,894,34,13784,Arabic,True,False,0.0,False,False,False,True
Al Amal Dental,clinic,4652,2025-01-17,21,Friday,1,carousel,صحتكم أولويتنا سوايب وشوفوا التفاصيل. شو رأيكم؟ الكمية محدودة 50% خصم لفترة محدودة زورونا بفرعنا في Rafah ابعتولنا DM وخليها علينا 📚 🧴 😍 #عروض,142,1,3,210,46,2027,Arabic,True,True,50.0,True,False,False,True
Hebron Study Hub,education_center,26289,2025-03-27,20,Thursday,3,reel,استنونا بدورة جديدة شوفوا الريل. زورونا بفرعنا في Tulkarm كل عام وأنتم بخير ✅ #تعليم #قهوة,90,2,1,4698,672,96092,Arabic,True,False,0.0,True,True,False,False
Bethlehem Brew Bar,cafe,2210,2025-11-01,22,Saturday,11,image,أجواء ولا أروع صورة جديدة. أهلا بالناس الحلوة منتج فلسطيني #عيادة #مطاعم,72,2,0,131,11,2721,Mixed,False,False,0.0,False,False,True,True
Sama Beauty Studio,beauty_salon,1578,2025-03-09,19,Sunday,3,video,دلعي حالك فيديو جديد. أهلا بالناس الحلوة موجودين في Ramallah today. DM us وخلينا نجهزلك طلبك. #Palestine,104,1,0,177,16,1162,Mixed,True,False,0.0,True,False,False,True
TechSouq Ramallah,electronics_store,54348,2025-01-27,22,Monday,1,image,وصلت أجهزة جديدة صورة جديدة. شو رأيكم؟ عرض خاص 5% خصم لفترة محدودة زورونا بفرعنا في Qalqilya زورونا وخليها علينا,112,0,0,5128,440,36187,Arabic,True,True,5.0,True,False,False,True
Nablus Mobile Center,electronics_store,38629,2025-03-25,21,Tuesday,3,video,وصلت أجهزة جديدة فيديو جديد. Order now وخلينا نجهزلك طلبك. 🧴,60,0,1,6171,802,45748,Mixed,True,False,0.0,False,False,False,False
Jericho Date Bakery,bakery,2766,2025-07-24,10,Thursday,7,image,طازة من الفرن صورة جديدة. ابعتولنا DM وخلينا نجهزلك طلبك. #Palestine #SupportLocal,82,2,0,85,3,1395,Mixed,True,False,0.0,False,False,False,True
Sama Beauty Studio,beauty_salon,1564,2025-10-03,18,Friday,10,reel,Glow up season Watch the reel. Order now. 🛍️ 🥙,46,0,2,122,8,3543,English,True,False,0.0,False,False,False,False
Bethlehem Lash Bar,beauty_salon,13880,2025-12-02,14,Tuesday,12,image,دلعي حالك صورة جديدة. أهلا بالناس الحلوة اطلب الآن وخليها علينا ☕,65,0,1,1317,102,9853,Arabic,True,False,0.0,False,False,False,True
Nablus Coffee Corner,cafe,3110,2025-12-19,3,Friday,12,image,أجواء ولا أروع صورة جديدة. DM us وخلينا نجهزلك طلبك. #قهوة #مخبز #صيدلية #جيم,77,4,0,146,20,1059,Mixed,True,False,0.0,False,False,False,True
Olive Tree Learning,education_center,8833,2025-09-06,12,Saturday,9,reel,استنونا بدورة جديدة شوفوا الريل. شو رأيكم؟ الكمية محدودة 25% خصم لفترة محدودة زورونا بفرعنا في Hebron راسلونا وخليها علينا,122,0,0,1543,172,17759,Arabic,True,True,25.0,True,False,False,True
Al Amal Dental,clinic,4566,2025-08-12,21,Tuesday,8,reel,صحتكم أولويتنا شوفوا الريل.,27,0,0,257,13,4594,Arabic,False,False,0.0,False,False,False,False
Gaza Family Pharmacy,pharmacy,12426,2025-07-14,12,Monday,7,image,Your health matters Photo drop. صنع محلي #Palestine,51,1,0,224,17,4899,English,False,False,0.0,False,False,True,False
Gaza Gadget Shop,electronics_store,49078,2025-02-28,12,Friday,2,carousel,وصلت أجهزة جديدة سوايب وشوفوا التفاصيل. يا جماعة اطلب الآن وخليها علينا,71,0,0,7114,223,62909,Arabic,True,False,0.0,False,False,False,True
Ramallah Fit Hub,gym,4306,2025-07-05,21,Saturday,7,reel,جاهزين للتمرين شوفوا الـ reel. اطلب الآن وخلينا نجهزلك طلبك. #جيم #عروض,71,2,0,163,22,4865,Mixed,True,False,0.0,False,False,False,False
Al Amal Dental,clinic,4751,2025-05-13,19,Tuesday,5,image,صحتكم أولويتنا صورة جديدة. موجودين في Rafah today. اطلب الآن وخلينا نجهزلك طلبك. 🛍️ 🍰,85,0,2,129,8,1122,Mixed,True,False,0.0,True,False,False,False
Canaan Threads,store,15017,2025-04-29,18,Tuesday,4,image,وصلت تشكيلة جديدة صورة جديدة. عرض خاص 15% خصم لفترة محدودة ابعتولنا DM وخليها علينا #Hebron #عروض #Palestine,108,3,0,820,144,7739,Arabic,True,True,15.0,True,False,False,False
Qahwa Al-Quds,cafe,2724,2025-02-03,6,Monday,2,reel,أجواء ولا أروع شوفوا الريل. زورونا بفرعنا في Jenin زورونا وخليها علينا,70,0,0,660,34,3994,Arabic,True,False,0.0,True,False,False,False
Jericho Date Bakery,bakery,2865,2025-03-22,21,Saturday,3,image,طازة من الفرن صورة جديدة. خصم special 40% off اليوم! Order now وخلينا نجهزلك طلبك. #تعليم #عروض #عيادة,102,3,0,338,18,2843,Mixed,True,True,40.0,False,False,False,False
Gaza Gadget Shop,electronics_store,49561,2025-09-14,22,Sunday,9,reel,وصلت أجهزة جديدة شوفوا الريل. شو رأيكم؟ ادعم المحلي #قهوة,57,1,0,7209,460,79466,Arabic,False,False,0.0,False,False,True,True
Al Karmel Boutique,store,8929,2025-02-23,13,Sunday,2,carousel,وصلت تشكيلة جديدة سوايب وشوفوا التفاصيل. احنا جاهزين زورونا وخليها علينا #Palestine #قهوة #عيادة,96,3,0,742,103,7814,Arabic,True,False,0.0,False,False,False,True
Nablus Sweet Oven,bakery,1811,2025-05-03,21,Saturday,5,carousel,طازة من الفرن سوايب وشوفوا التفاصيل. لفترة محدودة 40% خصم لفترة محدودة زورونا وخليها علينا #قهوة #عروض,102,2,0,557,53,3592,Arabic,True,True,40.0,False,False,False,True
Nablus Coffee Corner,cafe,3127,2025-10-03,13,Friday,10,reel,أجواء ولا أروع شوفوا الريل. احنا جاهزين اتصل فينا وخليها علينا #قهوة,68,1,0,1336,36,8345,Arabic,True,False,0.0,False,False,False,True
Hebron Study Hub,education_center,25649,2025-03-21,14,Friday,3,image,استنونا بدورة جديدة صورة جديدة. limited offer لفترة محدودة 40% off اليوم! ☕ 🍰 😍 #Palestine,90,1,3,189,11,4904,Mixed,False,True,40.0,False,False,False,True
Nablus Coffee Corner,cafe,3064,2025-09-29,7,Monday,9,reel,أجواء ولا أروع شوفوا الـ reel. sale اليوم 15% off اليوم! ابعتولنا DM وخلينا نجهزلك طلبك. 💪 ✅ 🍕 🥙,96,0,4,548,46,10539,Mixed,True,True,15.0,False,False,False,False
